fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,inference_time_ms,training_time_s
1,ann,Neural Baseline,loso,Afif - TVTC,1600,49,6219.828571428571,1173.7154214767074,6298.057866631297,1095.9813638211785,122.0578659036977,24908.707686463847,157.8249273291892,0.9819188697624301,78.22929520272521,1.9623991964084537,2.5374481871441668,0.006730612266419114,0.599116325378418
2,ann,Neural Baseline,loso,Al Ahsa - KFU,1631,18,5549.283333333333,1266.2999443917963,5526.772376940494,1272.5734372395773,95.57887857454479,18305.819803143175,135.29900148612765,0.9885839461845839,-22.510956392840097,1.722364363708433,2.438134680804927,0.014466666673090205,0.49970436096191406
3,ann,Neural Baseline,loso,Al Baha - University,1617,32,6122.075000000001,770.5048710099112,6001.626889811016,657.3386042245029,189.5668069252945,48651.269347583846,220.57032744134884,0.918051049015391,-120.44811018898406,3.096446987749978,3.602868756775257,0.008440624924332951,0.9523601531982422
4,ann,Neural Baseline,loso,Al Dawadmi - TVTC,1600,49,6158.08163265306,1242.735881715603,6164.57409901211,1199.7154280031668,87.65839512663351,14011.00069560523,118.36807295721778,0.990927823754443,6.492466359047795,1.423469196345616,1.922158230731699,0.005593877603485229,0.5359039306640625
5,ann,Neural Baseline,loso,Al Dhahran - KFUPM,1604,45,5201.251111111111,1315.5792518248752,5189.851272859083,1282.9341470545776,109.47380942826918,17747.37128697033,133.21926019525228,0.9897458420211962,-11.399838252028045,2.1047591644711607,2.561292607285663,0.010280000020025505,0.7164607048034668
6,ann,Neural Baseline,loso,Al Farshah - TQ TVTC,1604,45,5783.742222222222,648.1317134619026,5724.2658110633365,569.1558267553895,141.9483791058121,32098.17998650921,179.1596494373362,0.9235893553896606,-59.47641115888598,2.4542653121783298,3.0976423663726096,0.00600666664670118,0.6150100231170654
7,ann,Neural Baseline,loso,Al Hanakiyah - TVTC,1598,51,6190.123529411763,1218.1734376320348,6345.274267126993,1146.3062513238172,191.50844388184223,55831.65417459518,236.28722812415228,0.9623762357565474,155.15073771523026,3.0937741867655575,3.8171649887349863,0.005519607785733088,0.41298818588256836
8,ann,Neural Baseline,loso,Al Jouf - TVTC,1609,40,5857.597500000001,1618.4891058464837,5855.692266961323,1533.8284103073884,158.72793253907807,39320.754126386935,198.294614466422,0.9849892539548916,-1.9052330386770335,2.7097787538163565,3.3852550378618873,0.006500000017695129,0.5376279354095459
9,ann,Neural Baseline,loso,Al Jubail - SWCC,1600,49,5368.820408163266,1346.8619593494689,5340.94641385107,1262.7300369851457,116.17328893023321,20998.27845239723,144.90782743660617,0.988424559774536,-27.873994312194952,2.163851276410593,2.6990626696373474,0.005712244886553333,0.42756009101867676
10,ann,Neural Baseline,loso,Al Khafji - SWCC,1627,22,5728.686363636364,1368.320342043636,5698.238939726311,1346.1961388235852,137.80322587225973,34915.378835574185,186.85657289903983,0.9813516165030302,-30.447423910051427,2.4054943336920123,3.2617699946908947,0.012077272747939622,0.426302433013916
11,ann,Neural Baseline,loso,Al Qunfudhah - TVTC,1604,45,5561.022222222223,862.9555088026493,5601.132098068547,824.0894161548507,116.57295689343104,21487.22735209859,146.5852221477274,0.9711461633966716,40.109875846324435,2.096250513576399,2.635940233469359,0.006199999996978376,0.5794665813446045
12,ann,Neural Baseline,loso,Al Uwayqilah,1645,4,4700.0,1374.3970077819579,4869.621297978185,1295.5161658941047,169.6212979781851,36240.891212786686,190.3704052965867,0.9808144405790381,169.6212979781851,3.608963786769896,4.050434155246526,0.06599999960599234,0.3662707805633545
13,ann,Neural Baseline,loso,Al Wajh - TVTC,1630,19,6172.1578947368425,1468.5868779977395,6083.321734001671,1270.228252510922,248.25109921820408,90320.50270949154,300.5336964626289,0.9581218913507566,-88.8361607351719,4.022111933168368,4.869183543066869,0.01358947357450808,0.5359282493591309
