record_id,fold,model_name,cv_strategy,station_name,latitude,longitude,date,actual_ghi,predicted_ghi,residual_error,absolute_error,squared_error,relative_error_pct,air_temperature_c,wind_speed_m_s,dhi_wh_m2,dni_wh_m2,diffuse_fraction,relative_humidity_pct,barometric_pressure_mb
1214,1,cnn1d,loso,Afif - TVTC,23.92118,42.94815,01-01-2017 00:00,4723.7,4807.1884765625,83.48847656250018,83.48847656250018,6970.325718727142,1.7674381642039119,17.4,4.3,1542.9,5834.3,0.20914439082578756,32.4,898.9
1215,1,cnn1d,loso,Afif - TVTC,23.92118,42.94815,01-02-2017 00:00,4872.1,4790.2158203125,-81.88417968750036,81.88417968750036,6705.018883094847,1.6806752670819638,14.3,4.5,2397.0,3992.9,0.3751232413652796,39.3,898.9
1216,1,cnn1d,loso,Afif - TVTC,23.92118,42.94815,01-03-2017 00:00,5521.8,5585.4287109375,63.62871093749982,63.62871093749982,4048.612855567909,1.152318282761053,21.7,4.7,2974.0,3598.1,0.45251898175621186,36.2,895.0
1217,1,cnn1d,loso,Afif - TVTC,23.92118,42.94815,01-04-2017 00:00,6322.8,6519.759765625,196.95976562499982,196.95976562499982,38793.14927505486,3.11507189259505,27.9,5.0,3415.9,3770.1,0.47535485666573896,20.6,896.1
1218,1,cnn1d,loso,Afif - TVTC,23.92118,42.94815,01-05-2017 00:00,6918.2,6765.466796875,-152.73320312499982,152.73320312499982,23327.431336822454,2.2077014703969216,31.0,3.5,3460.3,4369.2,0.44195670221597805,21.4,894.7
1219,1,cnn1d,loso,Afif - TVTC,23.92118,42.94815,01-06-2017 00:00,7910.8,7946.13525390625,35.33525390624982,35.33525390624982,1248.580168619143,0.4466710561036787,34.5,3.8,2742.9,6769.5,0.2883499432319919,8.7,891.7
1220,1,cnn1d,loso,Afif - TVTC,23.92118,42.94815,01-09-2017 00:00,6954.4,6913.9970703125,-40.402929687499636,40.402929687499636,1632.3967273330395,0.580969309897326,31.6,3.1,2286.2,6573.0,0.2580594184576485,10.0,894.3
1221,1,cnn1d,loso,Afif - TVTC,23.92118,42.94815,01-10-2017 00:00,6326.5,6375.90625,49.40625,49.40625,2440.9775390625,0.7809412787481229,27.5,3.8,1532.0,7682.0,0.1662687215107445,13.0,897.3
1222,1,cnn1d,loso,Afif - TVTC,23.92118,42.94815,01-11-2017 00:00,4973.7,5086.01171875,112.31171875000018,112.31171875000018,12613.922168579142,2.258112044353302,21.4,4.3,1611.6,5986.5,0.21210565799344572,32.7,898.5
1223,1,cnn1d,loso,Afif - TVTC,23.92118,42.94815,01-03-2018 00:00,6556.4,6482.94970703125,-73.45029296874964,73.45029296874964,5394.945537195153,1.120283890073053,24.7,4.3,2421.9,6007.3,0.28732264034546573,25.7,896.8
