station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Osfan - KAU,21.89252,39.2539,cnn1d,loso,46,5753.413043478261,1092.5723178947324,5753.191353175951,1114.2514146808733,145.28644064198375,37943.13226977661,194.789969633389,0.9682142257751645,-0.2216903023097727,2.5252218038938143,3.3856420208556335,524.6175781250004
Riyadh - K.A.CARE HQ,24.707744,46.6792,cnn1d,loso,45,5699.173333333333,1256.6968934295792,5786.173616536458,1194.9765233794224,151.11573459201395,35475.885725621185,188.35043330351323,0.9775367720467306,87.00028320312502,2.65153778896613,3.3048728699281513,403.0773437500002
Sharurah - TVTC,17.47586,47.08618,cnn1d,loso,41,6656.526829268292,674.428293038572,6620.419945693598,750.6787049773193,151.7344750381098,40346.12170928631,200.86344044969036,0.911298649525926,-36.106883574695175,2.2794841653900306,3.017541213332268,469.07607421875036
Afif - TVTC,23.92118,42.94815,cnn1d,loso,49,6219.828571428571,1173.7154214767074,6255.344457509566,1133.8713314947881,152.36169284119904,41779.692757562356,204.40081398458852,0.9696722898857713,35.51588608099489,2.44961241441747,3.28627729264959,654.2147460937504
Hada Al Sham - KAU,21.80117,39.72854,cnn1d,loso,51,5853.949019607843,1122.0203016884318,5766.355353860294,1127.8751176631247,173.26206341911765,63916.2207149643,252.81657523778836,0.9492297084144118,-87.593665747549,2.959746708397616,4.318735513257418,952.00537109375
Al Jouf - TVTC,29.77634,40.02318,cnn1d,loso,40,5857.597500000001,1618.4891058464837,5833.176568603516,1540.7746334584087,173.99370971679684,47674.22636837355,218.34428402954256,0.9818003056957538,-24.42093139648434,2.970393744479658,3.7275399006084413,528.9703124999996
Al Dawadmi - TVTC,24.5569,44.47411,cnn1d,loso,49,6158.08163265306,1242.735881715603,6072.768564652423,1198.602757725452,174.92025868941323,49010.648918236795,221.38348835953596,0.9682654183983568,-85.31306800063774,2.840499186660718,3.5950073669965015,527.1416992187496
Layla - TVTC,22.27948,46.73319,cnn1d,loso,51,6283.745098039216,1045.311658059916,6161.0127048866425,1097.9867774192685,176.6763154871324,44508.27236100461,210.96983756216102,0.959266741904415,-122.73239315257355,2.8116403948699733,3.357390127552949,459.24667968749964
Riyadh - KSU,24.72359,46.61639,cnn1d,loso,51,5913.5,1281.0528315627353,5885.2721258425245,1240.2009887965596,179.17682866115206,46599.48762185285,215.86914467300056,0.9716046608623269,-28.22787415747549,3.0299624361402224,3.6504463460387346,457.0211914062502
Al Jubail - SWCC,26.9042,49.76274,cnn1d,loso,49,5368.820408163266,1346.8619593494689,5366.37083466199,1300.2529569071057,180.4779695471939,50356.976925753006,224.4036027468209,0.9722403825789548,-2.4495735012755064,3.361594462589548,4.179756178947917,593.5041015625002
Wadi Addawasir - TVTC,20.43008,44.89433,cnn1d,loso,15,6290.633333333333,788.4023386289234,6248.72802734375,845.7656771437929,182.0984309895833,46532.90882367642,215.71487854034646,0.9251374883103235,-41.905305989583276,2.894755127828941,3.4291440481405657,402.0417968749998
Al Dhahran - KFUPM,26.30355,50.14412,cnn1d,loso,45,5201.251111111111,1315.5792518248752,5294.880859375,1333.4605811797244,204.17784288194446,64909.754083866894,254.77392740205363,0.9624961431200835,93.62974826388894,3.9255524972784333,4.89832007644845,643.287109375
