fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,inference_time_ms,training_time_s
1,dt,Classical ML,loso,Afif - TVTC,1600,49,6219.828571428571,1173.7154214767074,6147.269387755102,1271.7451550003925,224.04081632653072,91632.4289795919,302.70848844984823,0.9334843901490227,-72.5591836734694,3.6020416600496916,4.866830089825483,0.005389795975987705,0.017904281616210938
2,dt,Classical ML,loso,Al Ahsa - KFU,1631,18,5549.283333333333,1266.2999443917963,5568.366666666666,1300.969850619999,390.33888888888896,273013.39833333343,522.5068404655899,0.8297407228291511,19.083333333333183,7.034041432777608,9.415753514098036,0.0146833333726843,0.015738248825073242
3,dt,Classical ML,loso,Al Baha - University,1617,32,6122.075000000001,770.5048710099112,6090.75,698.7695381883786,507.70625000000007,413884.0075,643.3381750681364,0.30284737276612417,-31.325000000000045,8.293041983314481,10.508498753578424,0.0061875000483269105,0.015717267990112305
4,dt,Classical ML,loso,Al Dawadmi - TVTC,1600,49,6158.08163265306,1242.735881715603,6126.532653061226,1234.675080184117,117.03469387755098,23958.87122448978,154.78653437715369,0.9844865397472035,-31.548979591836783,1.90050572335673,2.5135511935470665,0.004048979537067365,0.01437687873840332
5,dt,Classical ML,loso,Al Dhahran - KFUPM,1604,45,5201.251111111111,1315.5792518248752,5289.493333333333,1314.2882852031446,309.04666666666657,195346.07088888885,441.9797177347495,0.8871320468229624,88.24222222222225,5.94177554716536,8.497565456714359,0.005497777763391948,0.014584779739379883
6,dt,Classical ML,loso,Al Farshah - TQ TVTC,1604,45,5783.742222222222,648.1317134619026,5702.953333333333,806.1883467831129,374.22444444444443,220796.35044444443,469.88972157778085,0.47438791008831904,-80.78888888888879,6.47028221635819,8.124319921665533,0.005175555512929956,0.016388893127441406
7,dt,Classical ML,loso,Al Hanakiyah - TVTC,1598,51,6190.123529411763,1218.1734376320348,6365.439215686275,1231.729507656108,292.8725490196077,221012.44803921564,470.11961035380733,0.8510644120646625,175.31568627450972,4.731287633082807,7.594672515339641,0.003943137248736057,0.014924049377441406
8,dt,Classical ML,loso,Al Jouf - TVTC,1609,40,5857.597500000001,1618.4891058464837,5930.9725,1568.1574128555303,254.3499999999999,103082.98549999997,321.06539131460426,0.9606479440364112,73.37499999999997,4.342223923716163,5.481178782164603,0.00670750005156151,0.016771554946899414
9,dt,Classical ML,loso,Al Jubail - SWCC,1600,49,5368.820408163266,1346.8619593494689,5308.820408163265,1275.1899386301268,291.01224489795925,165983.53224489803,407.4107659904166,0.9085004773001832,-60.000000000000036,5.420413103322967,7.588459568715514,0.007389795984859027,0.01874065399169922
10,dt,Classical ML,loso,Al Khafji - SWCC,1627,22,5728.686363636364,1368.320342043636,5646.6909090909085,1253.0880335863699,387.15909090909093,269188.0295454545,518.8333350368445,0.8562260592560819,-81.99545454545454,6.758252526558921,9.05675930053025,0.01239545450847469,0.017757892608642578
11,dt,Classical ML,loso,Al Qunfudhah - TVTC,1604,45,5561.022222222223,862.9555088026493,5421.806666666667,828.9295100442631,408.70444444444445,344540.94422222214,586.9761019174649,0.5373377893368109,-139.21555555555562,7.349448143027261,10.555183533916992,0.004053333315015253,0.014519691467285156
12,dt,Classical ML,loso,Al Uwayqilah,1645,4,4700.0,1374.3970077819579,4976.4,1397.8215819624477,349.15,287663.41500000004,536.3426283636236,0.847713912185137,276.4,7.428723404255319,11.411545284332417,0.056275000133609865,0.01744985580444336
13,dt,Classical ML,loso,Al Wajh - TVTC,1630,19,6172.1578947368425,1468.5868779977395,5681.71052631579,1102.307440586975,867.1315789473684,1554712.8784210524,1246.8812607546288,0.2791400303615381,-490.4473684210523,14.049082893468972,20.20170711798991,0.013131578989008344,0.018819332122802734
14,dt,Classical ML,loso,Arar - TVTC,1612,37,5733.135135135134,1774.237785827315,5752.862162162162,1607.1389841093314,306.42972972972973,211068.82891891885,459.42227734288076,0.932949742163425,19.727027027027006,5.3448893582116295,8.013456276782001,0.0067162162284492635,0.017213821411132812
15,dt,Classical ML,loso,Dammam - IAFU,1625,24,5679.474999999999,1462.4693592944093,5690.3,1398.6217888812305,254.01666666666665,132472.4491666666,363.9676485165496,0.9380627364206438,10.824999999999912,4.472537807925322,6.408473468349621,0.007454166582950468,0.014853954315185547
16,dt,Classical ML,loso,Duba - TVTC,1598,51,6060.007843137256,1282.3317258933441,6067.198039215687,1240.4326605222361,385.9941176470588,259975.07470588232,509.877509511728,0.8419003395128904,7.190196078431369,6.369531651418297,8.413809399424231,0.005464705906228582,0.015095710754394531
17,dt,Classical ML,loso,Farasan - SWCC,1611,38,5479.676315789476,759.3133440412188,5493.392105263158,674.1482959539934,353.70526315789476,213532.78684210524,462.09607966537135,0.6296413402530425,13.715789473684206,6.454856870627681,8.43290831492837,0.008915789485878409,0.018883943557739258
18,dt,Classical ML,loso,Hada Al Sham - KAU,1598,51,5853.949019607843,1122.0203016884318,5875.5,1191.4841438718518,225.79803921568632,89184.42921568628,298.63762190267704,0.9291585230552507,21.550980392156863,3.8571917599448544,5.101472884413381,0.005205882331995549,0.017731666564941406
19,dt,Classical ML,loso,Hafar Al Batin - TVTC,1599,50,5774.338000000001,1488.745472119395,5946.227999999999,1466.5224576582523,335.25,231739.05899999992,481.39283231057766,0.8954417437232559,171.89000000000004,5.805860342778687,8.336762280118995,0.00484200005303137,0.015164613723754883
20,dt,Classical ML,loso,Hagl - SWCC,1598,51,5767.360784313726,1417.5352506013471,5754.827450980392,1371.5858066955916,277.1960784313726,118966.9866666667,344.9159124579014,0.9407949535269443,-12.53333333333332,4.8062898923420985,5.98048094019046,0.005592156858434535,0.018607139587402344
21,dt,Classical ML,loso,Hail - TVTC,1603,46,5909.593478260869,1376.415776794803,5851.70652173913,1427.8926121785169,300.31304347826074,171204.38173913045,413.76851226154275,0.9096318083522773,-57.886956521739144,5.081788528821778,7.001640870622296,0.004923913049582473,0.015608549118041992
22,dt,Classical ML,loso,Jazan - University,1605,44,5479.720454545455,658.8391897805582,5494.999999999999,735.2964927651481,336.63409090909096,220313.61568181822,469.37577236348517,0.4924457261465254,15.279545454545458,6.143271243514828,8.565688272914281,0.005440909097325692,0.015679121017456055
