fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,inference_time_ms,training_time_s
1,hgb,Ensemble,loso,Afif - TVTC,1600,49,6219.828571428571,1173.7154214767074,6295.612623268438,1098.4254447036847,127.87078864885558,26655.720735642037,163.26579781338785,0.9806507200508299,75.78405183986713,2.0558571217901944,2.6249244000608996,0.028969387762006183,1.9498331546783447
2,hgb,Ensemble,loso,Al Ahsa - KFU,1631,18,5549.283333333333,1266.2999443917963,5589.32529053292,1314.976388149799,109.3986255256744,21382.88860461605,146.22889114199032,0.9866649945391994,40.041957199586605,1.9714009711585774,2.6350950628818195,0.07362777776304735,0.21686029434204102
3,hgb,Ensemble,loso,Al Baha - University,1617,32,6122.075000000001,770.5048710099112,6044.411946130385,658.1752747509627,185.7787004035379,54070.02976669639,232.52963201858034,0.9089236051082108,-77.6630538696148,3.0345708016242514,3.7982159973306486,0.03097187504863541,0.1987013816833496
4,hgb,Ensemble,loso,Al Dawadmi - TVTC,1600,49,6158.08163265306,1242.735881715603,6148.801317636812,1234.0803470453,75.85394278777514,10139.410790078087,100.69464131758993,0.9934346929450554,-9.28031501624843,1.2317787797024593,1.635162495795108,0.029791836693350757,0.18690705299377441
5,hgb,Ensemble,loso,Al Dhahran - KFUPM,1604,45,5201.251111111111,1315.5792518248752,5206.696819119306,1294.5703353246365,125.5119022051946,24266.646236553057,155.77755369934738,0.9859791052938613,5.44570800819452,2.4131098369211843,2.9950015942619928,0.031546666691105604,0.191270112991333
6,hgb,Ensemble,loso,Al Farshah - TQ TVTC,1604,45,5783.742222222222,648.1317134619026,5661.089608331181,639.8007550966813,244.03973545542718,97330.46090115336,311.97830197171305,0.7683020264449776,-122.65261389104197,4.2194089238241075,5.394056131565372,0.026893333334656846,0.19007587432861328
7,hgb,Ensemble,loso,Al Hanakiyah - TVTC,1598,51,6190.123529411763,1218.1734376320348,6288.340759620831,1233.1464032527642,134.92836689874795,48021.458496402985,219.13798962389654,0.967639360506042,98.21723020906605,2.179736256597289,3.5401230457305726,0.020139215670425592,0.18648409843444824
8,hgb,Ensemble,loso,Al Jouf - TVTC,1609,40,5857.597500000001,1618.4891058464837,5906.952099325259,1594.339652257142,135.25336833831216,24811.77087482725,157.5175256116831,0.9905280760807811,49.35459932525902,2.309024618682184,2.689114873660799,0.02526500002204557,0.18339061737060547
9,hgb,Ensemble,loso,Al Jubail - SWCC,1600,49,5368.820408163266,1346.8619593494689,5345.079884286165,1327.7326186955568,131.23007994537403,26198.249476886318,161.85873308810469,0.9855580412690036,-23.740523877101047,2.444300050451293,3.014791346754666,0.028091836741493483,0.20963120460510254
10,hgb,Ensemble,loso,Al Khafji - SWCC,1627,22,5728.686363636364,1368.320342043636,5678.2611014588365,1339.9826982027203,170.43723699753426,56074.42135630075,236.80038293106864,0.9700505236174741,-50.42526217752712,2.9751539214890244,4.133589585811367,0.04883636359987907,0.20530176162719727
11,hgb,Ensemble,loso,Al Qunfudhah - TVTC,1604,45,5561.022222222223,862.9555088026493,5501.400254094867,806.0751377818675,161.61656231804398,40439.8619147123,201.09664819362928,0.9456958709084302,-59.6219681273545,2.906238383155766,3.616181345041806,0.030022222199477255,0.24389100074768066
12,hgb,Ensemble,loso,Al Uwayqilah,1645,4,4700.0,1374.3970077819579,4755.760836636108,1323.596986726061,114.5653853518362,18644.38225847588,136.54443327531106,0.9901298535516999,55.76083663610791,2.4375613904646003,2.9052007079853417,0.22894999983691378,0.19303083419799805
