station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Wadi Addawasir - TVTC,20.43008,44.89433,hgb,loso,15,6290.633333333333,788.4023386289234,6303.857293893487,781.5714352324566,73.14118431146666,8929.869949779475,94.49798913087767,0.9856335546089371,13.223960560155259,1.1626998496939893,1.502201513322098,204.48766484851149
Shaqra - University,25.17279,45.14198,hgb,loso,47,5994.593617021277,1329.9769433938534,6017.316149742895,1306.3580617502907,74.69759221364059,10837.189544720624,104.10182296540549,0.9938732741833542,22.7225327216182,1.2460826702504304,1.7365951658476868,359.37041512665473
Al Dawadmi - TVTC,24.5569,44.47411,hgb,loso,49,6158.08163265306,1242.735881715603,6148.801317636812,1234.0803470453,75.85394278777514,10139.410790078087,100.69464131758993,0.9934346929450554,-9.28031501624843,1.2317787797024593,1.635162495795108,303.9848848311949
Riyadh - K.A.CARE City T2,24.52958,46.43635,hgb,loso,45,5906.017777777777,1218.4886161486907,5872.371391657145,1210.8094325045897,79.98844858002809,10981.693965915529,104.79357788488534,0.9926034979054349,-33.646386120632215,1.3543550254961285,1.7743525642470281,308.02184784051224
Riyadh - KSU,24.72359,46.61639,hgb,loso,51,5913.5,1281.0528315627353,5887.119484947632,1270.6057136566415,82.70450923666655,11309.048433245258,106.34400986066521,0.9931088455694569,-26.380515052368583,1.3985712224007196,1.7983260312955984,255.25862819427857
Riyadh - K.A.CARE HQ,24.707744,46.6792,hgb,loso,45,5699.173333333333,1256.6968934295792,5745.711280917485,1243.1104703734457,90.01811063050995,17453.226909566667,132.1106616044544,0.9889486673392179,46.53794758415143,1.5794941716198014,2.318067092849508,413.0458704081939
Hada Al Sham - KAU,21.80117,39.72854,hgb,loso,51,5853.949019607843,1122.0203016884318,5874.681080878249,1132.2654625925074,95.42806160453509,14831.27251267924,121.78371201716278,0.9882191402803365,20.73206127040582,1.6301484909570978,2.0803685103721845,285.39375064944124
Osfan - KAU,21.89252,39.2539,hgb,loso,46,5753.413043478261,1092.5723178947324,5800.858055815426,1073.047503299165,102.2654272488153,14633.02823243672,120.96705432652611,0.9877415989719865,47.445012337164144,1.7774741092982629,2.102526855144659,278.4682017775094
Layla - TVTC,22.27948,46.73319,hgb,loso,51,6283.745098039216,1045.311658059916,6258.942939026323,1052.6963561226191,105.12519991233533,20184.432615355385,142.0719276118804,0.9815275305101584,-24.80215901289213,1.6729704701920305,2.2609435200707395,418.23259139011225
Madinah - Taibah University,24.4846,39.5418,hgb,loso,24,5939.904166666667,1174.7210255627954,5946.377745980219,1213.2643895033912,109.35913828819054,22350.75241105269,149.50168029508126,0.9838034444913151,6.4735793135517765,1.8410926375191046,2.516903911245727,423.77118280384457
