record_id,fold,model_name,cv_strategy,station_name,latitude,longitude,date,actual_ghi,predicted_ghi,residual_error,absolute_error,squared_error,relative_error_pct,air_temperature_c,wind_speed_m_s,dhi_wh_m2,dni_wh_m2,diffuse_fraction,relative_humidity_pct,barometric_pressure_mb
1214,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-01-2017 00:00,4723.7,4380.0599999999995,-343.6400000000003,343.6400000000003,118088.44960000023,7.274805766665968,17.4,4.3,1542.9,5834.3,0.20914439082578756,32.4,898.9
1215,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-02-2017 00:00,4872.1,4995.039999999999,122.93999999999869,122.93999999999869,15114.243599999678,2.5233472219371254,14.3,4.5,2397.0,3992.9,0.3751232413652796,39.3,898.9
1216,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-03-2017 00:00,5521.8,5365.74,-156.0600000000004,156.0600000000004,24354.723600000125,2.8262523090296714,21.7,4.7,2974.0,3598.1,0.45251898175621186,36.2,895.0
1217,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-04-2017 00:00,6322.8,6400.140000000001,77.34000000000106,77.34000000000106,5981.4756000001635,1.223192256595196,27.9,5.0,3415.9,3770.1,0.47535485666573896,20.6,896.1
1218,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-05-2017 00:00,6918.2,6887.3,-30.899999999999636,30.899999999999636,954.8099999999775,0.446647972015837,31.0,3.5,3460.3,4369.2,0.44195670221597805,21.4,894.7
1219,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-06-2017 00:00,7910.8,7688.5599999999995,-222.2400000000007,222.2400000000007,49390.61760000031,2.8093239621782966,34.5,3.8,2742.9,6769.5,0.2883499432319919,8.7,891.7
1220,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-09-2017 00:00,6954.4,6979.160000000001,24.760000000001128,24.760000000001128,613.0576000000558,0.35603359024504094,31.6,3.1,2286.2,6573.0,0.2580594184576485,10.0,894.3
1221,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-10-2017 00:00,6326.5,6125.460000000001,-201.03999999999905,201.03999999999905,40417.08159999962,3.177744408440671,27.5,3.8,1532.0,7682.0,0.1662687215107445,13.0,897.3
1222,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-11-2017 00:00,4973.7,4665.700000000001,-307.9999999999991,307.9999999999991,94863.99999999945,6.19257293363088,21.4,4.3,1611.6,5986.5,0.21210565799344572,32.7,898.5
1223,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-03-2018 00:00,6556.4,6381.08,-175.3199999999997,175.3199999999997,30737.102399999898,2.674028430236101,24.7,4.3,2421.9,6007.3,0.28732264034546573,25.7,896.8
1224,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-04-2018 00:00,6654.2,6670.38,16.18000000000029,16.18000000000029,261.7924000000094,0.24315469928767233,24.7,4.9,3076.3,4729.0,0.3941296298668853,35.1,894.3
1225,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-05-2018 00:00,7499.6,7217.24,-282.3600000000006,282.3600000000006,79727.16960000033,3.7650008000426767,30.7,4.3,3497.6,5083.6,0.4075886822355847,19.1,893.8
1226,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-06-2018 00:00,7850.1,7653.540000000001,-196.5599999999995,196.5599999999995,38635.8335999998,2.503917147552254,34.3,3.4,3047.3,6214.8,0.3290074605111152,12.1,891.7
1227,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-07-2018 00:00,7727.5,7758.839999999999,31.339999999999236,31.339999999999236,982.1955999999522,0.40556454221933663,34.1,3.4,2838.8,6323.6,0.30983148520038417,13.2,890.2
1228,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-08-2018 00:00,7555.9,7159.840000000001,-396.0599999999986,396.0599999999986,156863.52359999888,5.241731626940518,34.2,3.0,2169.3,7267.0,0.2298888335470471,13.2,890.9
1229,1,knn,loso,Afif - TVTC,23.92118,42.94815,01-09-2018 00:00,6637.8,6784.639999999999,146.83999999999924,146.83999999999924,21561.985599999774,2.212178733917853,33.8,3.3,2582.3,5525.6,0.3184918412905931,13.6,894.3
