station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Afif - TVTC,23.92118,42.94815,knn,loso,49,6219.828571428571,1173.7154214767074,6182.718367346938,1121.0983256835216,198.23102040816335,76526.84063673473,276.6348507269732,0.9444494756757497,-37.11020408163274,3.1870817359622756,4.447628219171894,1176.2799999999997
Majmaah - University,25.85891,45.41889,knn,loso,51,5979.882352941176,1368.858325315889,5974.567450980393,1248.6114645773098,210.59647058823532,69810.58080784316,264.21691998780693,0.9627433117398565,-5.314901960784339,3.521749395030397,4.418430069244642,803.3999999999996
Riyadh - K.A.CARE City T2,24.52958,46.43635,knn,loso,45,5906.017777777777,1218.4886161486907,5838.522666666666,1136.313477394528,212.11644444444443,75561.12586666668,274.8838406794162,0.9491073028009023,-67.49511111111113,3.5915307475463822,4.65430093545782,782.0800000000008
Wadi Addawasir - TVTC,20.43008,44.89433,knn,loso,15,6290.633333333333,788.4023386289234,6267.672,881.7738684205452,220.3639999999999,61444.03421333325,247.87907175341215,0.9011483518688587,-22.9613333333334,3.5030495074687744,3.940446988698734,447.59999999999945
Al Hanakiyah - TVTC,24.85577,40.536,knn,loso,51,6190.123529411763,1218.1734376320348,6238.38156862745,1083.7003648382154,230.7521568627449,83715.63305098032,289.3365394328555,0.9435858154667632,48.25803921568617,3.7277472051462093,4.674164223994906,689.9399999999996
Hada Al Sham - KAU,21.80117,39.72854,knn,loso,51,5853.949019607843,1122.0203016884318,5781.082352941176,1184.9809617376718,250.47999999999993,103523.10003137242,321.7500583238058,0.9177689494834874,-72.86666666666666,4.278821000336959,5.496290747427108,964.3599999999997
Riyadh - K.A.CARE HQ,24.707744,46.6792,knn,loso,45,5699.173333333333,1256.6968934295792,5910.77111111111,1186.3718214871615,267.940888888889,103346.65529777786,321.475746049026,0.9345611975944179,211.59777777777785,4.701399189278136,5.640743442014268,618.5600000000004
Riyadh - KSU,24.72359,46.61639,knn,loso,51,5913.5,1281.0528315627353,5893.475294117647,1139.4664890139145,284.93686274509815,127902.83839215685,357.6350631469974,0.9220625663893967,-20.024705882352855,4.818413168937146,6.047773114855795,796.1999999999998
Al Dawadmi - TVTC,24.5569,44.47411,knn,loso,49,6158.08163265306,1242.735881715603,6155.675102040816,1052.0847266923302,286.86530612244894,191615.92528979588,437.7395633133883,0.8759279595047207,-2.4065306122448717,4.658355040331935,7.108375455633556,1806.8599999999997
Hail - TVTC,27.65261,41.70826,knn,loso,46,5909.593478260869,1376.415776794803,5898.786521739132,1189.2222527280398,301.51565217391305,176326.91000000012,419.91297908019004,0.9069279428851861,-10.806956521739167,5.102138637506516,7.105615312201914,1252.1000000000004
Sharurah - TVTC,17.47586,47.08618,knn,loso,41,6656.526829268292,674.428293038572,6696.57512195122,833.6795448890709,304.69609756097555,138212.38086829265,371.76925756212364,0.6961387038984499,40.0482926829268,4.577403582619809,5.585033563261244,797.96
Al Jouf - TVTC,29.77634,40.02318,knn,loso,40,5857.597500000001,1618.4891058464837,5949.568499999999,1497.2777099849416,316.296,140902.05126000004,375.3692199155387,0.9462104693643357,91.97100000000013,5.399756470122775,6.408245358537158,940.46
Al Qunfudhah - TVTC,19.15197,41.08111,knn,loso,45,5561.022222222223,862.9555088026493,5482.334222222222,676.9290973489974,316.9866666666668,164618.65107555562,405.73224061634,0.7789440404682783,-78.688,5.7001510513654585,7.296001066045131,998.96
