Model,Category,MAE,95% CI (MAE),RMSE,95% CI (RMSE),R2,95% CI (R2),t_stat_vs_champion,p_value_vs_champion,Significance,Inference_ms
FT-Transformer,Deep Learning,90.66 ± 33.82,"[80.26, 101.07]",120.65 ± 54.64,"[103.83, 137.47]",0.9803 ± 0.0352,"[0.9694, 0.9911]",-,-,Baseline Champion,0.13
Artificial Neural Network (ANN),Neural Baseline,140.69 ± 43.11,"[127.26, 154.11]",181.66 ± 56.55,"[164.05, 199.27]",0.9690 ± 0.0253,"[0.9611, 0.9769]",7.49,2.91e-09,p < 0.001 (***),0.01
Linear Regression (LR),Classical ML,140.85 ± 40.26,"[128.46, 153.24]",189.93 ± 79.23,"[165.55, 214.32]",0.9592 ± 0.0661,"[0.9388, 0.9795]",6.95,1.70e-08,p < 0.001 (***),0.005
Histogram Gradient Boosting (HGB),Ensemble,143.23 ± 47.80,"[128.52, 157.94]",190.59 ± 71.02,"[168.73, 212.44]",0.9626 ± 0.0413,"[0.9499, 0.9753]",6.94,1.76e-08,p < 0.001 (***),0.04
Support Vector Regression (SVR),Classical ML,136.55 ± 73.49,"[113.93, 159.17]",200.18 ± 111.25,"[165.94, 234.41]",0.9575 ± 0.0489,"[0.9425, 0.9726]",4.79,2.09e-05,p < 0.001 (***),0.04
XGBoost,Ensemble,178.43 ± 70.57,"[156.71, 200.15]",238.79 ± 113.20,"[203.95, 273.63]",0.9403 ± 0.0692,"[0.9190, 0.9616]",7.04,1.28e-08,p < 0.001 (***),0.04
Random Forest (RF),Ensemble,188.66 ± 74.86,"[165.62, 211.70]",251.29 ± 106.76,"[218.43, 284.14]",0.9324 ± 0.0720,"[0.9102, 0.9545]",8.56,9.46e-11,p < 0.001 (***),1.16
1D CNN,Deep Learning,241.11 ± 74.89,"[218.06, 264.16]",312.02 ± 92.24,"[283.64, 340.41]",0.9030 ± 0.0902,"[0.8753, 0.9308]",15.19,1.16e-18,p < 0.001 (***),0.21
Solar LSTM,Deep Learning,335.52 ± 90.88,"[307.55, 363.49]",417.49 ± 112.91,"[382.74, 452.24]",0.8496 ± 0.1056,"[0.8171, 0.8820]",17.34,9.41e-21,p < 0.001 (***),0.13
Decision Tree (DT),Classical ML,306.23 ± 125.86,"[267.50, 344.96]",422.54 ± 178.48,"[367.61, 477.47]",0.8169 ± 0.1826,"[0.7607, 0.8730]",11.02,5.71e-14,p < 0.001 (***),0.01
K-Nearest Neighbors (KNN),Classical ML,371.13 ± 107.23,"[338.13, 404.14]",469.74 ± 134.50,"[428.35, 511.13]",0.7890 ± 0.1911,"[0.7302, 0.8478]",18.40,1.02e-21,p < 0.001 (***),0.07
