fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,inference_time_ms,training_time_s
1,lr,Classical ML,loso,Afif - TVTC,1600,49,6219.828571428571,1173.7154214767074,6308.00455235401,1126.096685300536,122.51197797729142,26298.53198241317,162.16822124699146,0.9809100019231703,88.17598092543832,1.9697002348274182,2.607277988205785,0.0025653061296610274,0.0018777847290039062
2,lr,Classical ML,loso,Al Ahsa - KFU,1631,18,5549.283333333333,1266.2999443917963,5403.153139304235,1322.8119513741365,165.34732453284704,47142.64606353749,217.1235732561932,0.970600443451866,-146.13019402909794,2.979615827860902,3.912641691080708,0.005872222269924047,0.0012493133544921875
3,lr,Classical ML,loso,Al Baha - University,1617,32,6122.075000000001,770.5048710099112,6048.260011136509,640.9924208930471,208.24192063428328,51745.43363149897,227.4762265193859,0.9128391908122817,-73.8149888634911,3.4014924781921696,3.715671998781228,0.004196875011075463,0.0013234615325927734
4,lr,Classical ML,loso,Al Dawadmi - TVTC,1600,49,6158.08163265306,1242.735881715603,6180.736152919791,1219.9071642890397,85.202761631636,11677.957390150239,108.06459822786664,0.9924384781691732,22.654520266730454,1.3835925977312589,1.7548419243885474,0.002220408142810421,0.0012106895446777344
5,lr,Classical ML,loso,Al Dhahran - KFUPM,1604,45,5201.251111111111,1315.5792518248752,5078.7426118003605,1354.6407003222625,139.41548139790004,31363.105357139837,177.09631661087658,0.981878880435995,-122.50849931075109,2.680422044997508,3.404879188250624,0.00275555559912593,0.0013210773468017578
6,lr,Classical ML,loso,Al Farshah - TQ TVTC,1604,45,5783.742222222222,648.1317134619026,5665.479049084763,555.7138895309728,154.702926784187,34780.77574815553,186.49604754030455,0.9172033586925734,-118.26317313745919,2.674789450155461,3.224487544132789,0.0025933333543232745,0.001262664794921875
7,lr,Classical ML,loso,Al Hanakiyah - TVTC,1598,51,6190.123529411763,1218.1734376320348,6329.527972707378,1167.5819778783493,158.834356828372,45337.71070275569,212.9265382773028,0.9694478810625226,139.40444329561032,2.5659319409973995,3.4397784998248144,0.0020901960869748873,0.0012259483337402344
8,lr,Classical ML,loso,Al Jouf - TVTC,1609,40,5857.597500000001,1618.4891058464837,5853.1884825484885,1615.8621750494306,117.10233313093019,22817.789450230175,151.0555839756683,0.9912892809317125,-4.409017451511272,1.9991529484729904,2.578797603892522,0.0026400000024295878,0.0012202262878417969
9,lr,Classical ML,loso,Al Jubail - SWCC,1600,49,5368.820408163266,1346.8619593494689,5271.892563218978,1368.4842755323666,127.2676933517627,26962.5052791273,164.2026348117694,0.9851367401906386,-96.9278449442876,2.3704963786505653,3.0584490135319125,0.002902040789046382,0.0013475418090820312
10,lr,Classical ML,loso,Al Khafji - SWCC,1627,22,5728.686363636364,1368.320342043636,5679.874993161549,1482.1017095185912,138.29861863725958,37653.55112905296,194.04522959622832,0.9798891524338291,-48.81137047481413,2.4141419141939653,3.3872552497891575,0.004936363521582362,0.0012345314025878906
11,lr,Classical ML,loso,Al Qunfudhah - TVTC,1604,45,5561.022222222223,862.9555088026493,5619.111913002572,842.8100332851552,112.91457895737678,20628.016835268172,143.62456905163606,0.9722999427770561,58.089690780350104,2.0304644442196698,2.582700865278015,0.003151111094565648,0.0013518333435058594
12,lr,Classical ML,loso,Al Uwayqilah,1645,4,4700.0,1374.3970077819579,4570.33585098856,1454.0455914110457,129.664149011439,39283.674500604626,198.20109611352967,0.9792036220362275,-129.664149011439,2.758811681094447,4.217044598160205,0.028500000553322025,0.001291513442993164
13,lr,Classical ML,loso,Al Wajh - TVTC,1630,19,6172.1578947368425,1468.5868779977395,6185.346966331409,1345.85427823059,185.38968779244522,53472.61201055365,231.24145824344225,0.9752068269289927,13.189071594566604,3.0036446078369408,3.7465253188131786,0.007352631655521691,0.0013813972473144531
14,lr,Classical ML,loso,Arar - TVTC,1612,37,5733.135135135134,1774.237785827315,5651.480337522645,1795.024316798345,131.68266046974267,29724.975449943217,172.40932529867175,0.9905572638162019,-81.65479761249115,2.2968699911281405,3.007243353502567,0.003329729716406783,0.001630544662475586
15,lr,Classical ML,loso,Dammam - IAFU,1625,24,5679.474999999999,1462.4693592944093,5622.193944413888,1498.937045972629,104.60731298095457,25240.114990360293,158.87137876395576,0.9881990280638325,-57.281055586111755,1.841848286698235,2.797289868587427,0.006000000060642681,0.0013248920440673828
16,lr,Classical ML,loso,Duba - TVTC,1598,51,6060.007843137256,1282.3317258933441,6189.196519296724,1077.5146241958578,240.62898551317164,102724.22592206817,320.5062026265142,0.9375299141255996,129.1886761594696,3.9707701993434785,5.288874386350442,0.0023372548657432926,0.0013616085052490234
17,lr,Classical ML,loso,Farasan - SWCC,1611,38,5479.676315789476,759.3133440412188,5668.747483081591,945.7355210640259,246.6754776676746,242055.3889531471,491.9912488582974,0.580170751466355,189.0711672921175,4.501643225839613,8.978472824036041,0.002915789465125846,0.0012888908386230469
18,lr,Classical ML,loso,Hada Al Sham - KAU,1598,51,5853.949019607843,1122.0203016884318,5818.945965607589,1088.0008841994668,88.73693676774556,11858.742703205025,108.89785444720674,0.9905802968613376,-35.00305400025334,1.5158474470911956,1.860246033616839,0.0021431372385682062,0.0012400150299072266
19,lr,Classical ML,loso,Hafar Al Batin - TVTC,1599,50,5774.338000000001,1488.745472119395,5805.653406757195,1575.4194208624363,124.71799197072147,25881.76713057708,160.87811265233404,0.988322415512467,31.315406757194058,2.1598664984751754,2.7860875593415906,0.005101999995531514,0.0017116069793701172
20,lr,Classical ML,loso,Hagl - SWCC,1598,51,5767.360784313726,1417.5352506013471,5700.5295421438495,1232.1486467618788,197.50342170685033,55434.713925492164,235.44577703898653,0.9724123901416855,-66.83124216987703,3.4245026294180727,4.082383361196344,0.0021490196363005204,0.0012617111206054688
21,lr,Classical ML,loso,Hail - TVTC,1603,46,5909.593478260869,1376.415776794803,5956.560779712361,1532.8178219216188,169.77495708641783,203886.45332036112,451.5378758425046,0.8923809665333018,46.96730145149163,2.8728703202843797,7.640760358619243,0.0033434782539109656,0.001443624496459961
22,lr,Classical ML,loso,Jazan - University,1605,44,5479.720454545455,658.8391897805582,5446.229488573642,609.8509139934298,114.82083149574274,20956.842339611056,144.76478280165745,0.9517200293634831,-33.49096597181365,2.0953775370146537,2.6418278815952068,0.003106818191802383,0.0014460086822509766
23,lr,Classical ML,loso,Jeddah - KAU,1603,46,5424.1391304347835,1065.8639036375632,5413.645728731237,1018.8195168624343,89.23420969355989,11397.602076887459,106.7595526259241,0.989967481228529,-10.493401703546239,1.6451312834670435,1.9682303506356882,0.003426086945894539,0.0012717247009277344
24,lr,Classical ML,loso,Layla - TVTC,1598,51,6283.745098039216,1045.311658059916,6326.794355383377,1069.5424654050576,105.17120237288655,17941.073926473062,133.9442941168942,0.9835806164563853,43.04925734416097,1.673702556866991,2.1315997391219814,0.0028999999688262596,0.0012922286987304688
25,lr,Classical ML,loso,Madinah - Taibah University,1625,24,5939.904166666667,1174.7210255627954,5858.180824071049,1178.310755827475,106.11892031285608,18880.831456603682,137.40753784492205,0.9863179355614989,-81.72334259561791,1.7865426332695784,2.3132955345646913,0.005237500014724598,0.001802206039428711
26,lr,Classical ML,loso,Mahd ad Dahab,1642,7,5798.400000000001,949.9375588502045,5801.809597284787,954.5429598842115,183.47963798914057,51782.83910746331,227.55843009535664,0.9426153497014267,3.4095972847865466,3.1643149487641513,3.9245038302869175,0.016757142605326538,0.0013036727905273438
27,lr,Classical ML,loso,Majmaah - University,1598,51,5979.882352941176,1368.858325315889,5960.090961034187,1382.4138735686333,94.9319796311822,15467.470820437316,124.36828703667715,0.9917452808462359,-19.79139190698725,1.587522530179718,2.079778157767723,0.0027549019660892,0.0013134479522705078
28,lr,Classical ML,loso,Makkah - UQU,1626,23,5840.304347826087,1196.1438442211092,5767.875217116678,1153.5115013152895,152.97210034891705,69691.18976082439,263.9908895413332,0.9512907929482054,-72.42913070940894,2.6192487794896726,4.520156379172216,0.004847826146389075,0.001317739486694336
29,lr,Classical ML,loso,Najran - University,1599,50,6840.951999999999,698.6154293286113,6980.132535342664,663.6947765516985,191.61802462025472,65464.98603424739,255.86126325461498,0.8658678970933231,139.18053534266556,2.8010432556792497,3.7401411858264026,0.0021980000019539148,0.001306772232055664
30,lr,Classical ML,loso,Osfan - KAU,1603,46,5753.413043478261,1092.5723178947324,5793.790347805089,1024.617238250247,93.59693071627878,13157.941060151297,114.70806885372666,0.9889773110762707,40.37730432682902,1.6268070797102754,1.9937395070870698,0.0039608695932775335,0.0015819072723388672
31,lr,Classical ML,loso,Rania - TVTC,1621,28,6412.253571428572,799.1166299117612,6369.2273786932665,787.959916905382,127.47165700788453,22056.54264275633,148.51445263931834,0.965460416146215,-43.02619273530426,1.9879384928859791,2.3161038624714134,0.005092857203895359,0.0013341903686523438
32,lr,Classical ML,loso,Riyadh - K.A.CARE City T2,1604,45,5906.017777777777,1218.4886161486907,5889.1128927238415,1206.1052104940547,102.24361520651692,16951.385756342574,130.1974875193165,0.9885827304383349,-16.904885053936262,1.731176895390036,2.204488581277267,0.0029288888779572314,0.0012748241424560547
33,lr,Classical ML,loso,Riyadh - K.A.CARE HQ,1604,45,5699.173333333333,1256.6968934295792,5648.23596452204,1333.8929742558832,111.17893409734494,19050.273255772358,138.02272731609224,0.9879374222246007,-50.93736881129344,1.9507905374114773,2.4218025886109604,0.002728888891094054,0.0014424324035644531
