station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Al Dawadmi - TVTC,24.5569,44.47411,lr,loso,49,6158.08163265306,1242.735881715603,6180.736152919791,1219.9071642890397,85.202761631636,11677.957390150239,108.06459822786664,0.9924384781691732,22.654520266730454,1.3835925977312589,1.7548419243885474,277.02018609164224
Hada Al Sham - KAU,21.80117,39.72854,lr,loso,51,5853.949019607843,1122.0203016884318,5818.945965607589,1088.0008841994668,88.73693676774556,11858.742703205025,108.89785444720674,0.9905802968613376,-35.00305400025334,1.5158474470911956,1.860246033616839,267.59240711186976
Jeddah - KAU,21.49604,39.24492,lr,loso,46,5424.1391304347835,1065.8639036375632,5413.645728731237,1018.8195168624343,89.23420969355989,11397.602076887459,106.7595526259241,0.989967481228529,-10.493401703546239,1.6451312834670435,1.9682303506356882,245.19940177375156
Osfan - KAU,21.89252,39.2539,lr,loso,46,5753.413043478261,1092.5723178947324,5793.790347805089,1024.617238250247,93.59693071627878,13157.941060151297,114.70806885372666,0.9889773110762707,40.37730432682902,1.6268070797102754,1.9937395070870698,251.79809231534273
Majmaah - University,25.85891,45.41889,lr,loso,51,5979.882352941176,1368.858325315889,5960.090961034187,1382.4138735686333,94.9319796311822,15467.470820437316,124.36828703667715,0.9917452808462359,-19.79139190698725,1.587522530179718,2.079778157767723,334.3319436554093
Thuwal - KAUST,22.3065,39.107,lr,loso,46,5567.534782608695,1035.9074126029905,5563.400322945708,959.11691938913,95.88603404767471,13940.428497629562,118.06959175685144,0.9870092495025058,-4.134459662987638,1.722235024865832,2.1206799125111053,282.2182565633775
Riyadh - K.A.CARE City T2,24.52958,46.43635,lr,loso,45,5906.017777777777,1218.4886161486907,5889.1128927238415,1206.1052104940547,102.24361520651692,16951.385756342574,130.1974875193165,0.9885827304383349,-16.904885053936262,1.731176895390036,2.204488581277267,395.4861313420597
Dammam - IAFU,26.394974,50.188715,lr,loso,24,5679.474999999999,1462.4693592944093,5622.193944413888,1498.937045972629,104.60731298095457,25240.114990360293,158.87137876395576,0.9881990280638325,-57.281055586111755,1.841848286698235,2.797289868587427,469.4025589261055
Layla - TVTC,22.27948,46.73319,lr,loso,51,6283.745098039216,1045.311658059916,6326.794355383377,1069.5424654050576,105.17120237288655,17941.073926473062,133.9442941168942,0.9835806164563853,43.04925734416097,1.673702556866991,2.1315997391219814,353.983879259682
Madinah - Taibah University,24.4846,39.5418,lr,loso,24,5939.904166666667,1174.7210255627954,5858.180824071049,1178.310755827475,106.11892031285608,18880.831456603682,137.40753784492205,0.9863179355614989,-81.72334259561791,1.7865426332695784,2.3132955345646913,323.06228188695604
Shaqra - University,25.17279,45.14198,lr,loso,47,5994.593617021277,1329.9769433938534,5939.037902932099,1347.0530501384603,107.0884600372436,16762.482707864892,129.47000698179053,0.9905234530471617,-55.55571408917766,1.786417343340382,2.159779548928362,337.01759664971223
Riyadh - KSU,24.72359,46.61639,lr,loso,51,5913.5,1281.0528315627353,5850.62212733354,1342.270434061168,110.6611372969043,18506.622194409487,136.03904658005175,0.9887230130561219,-62.87787266645893,1.8713306383174821,2.3004827357749513,332.2278269971648
Riyadh - K.A.CARE HQ,24.707744,46.6792,lr,loso,45,5699.173333333333,1256.6968934295792,5648.23596452204,1333.8929742558832,111.17893409734494,19050.273255772358,138.02272731609224,0.9879374222246007,-50.93736881129344,1.9507905374114773,2.4218025886109604,465.35862030134103
Al Qunfudhah - TVTC,19.15197,41.08111,lr,loso,45,5561.022222222223,862.9555088026493,5619.111913002572,842.8100332851552,112.91457895737678,20628.016835268172,143.62456905163606,0.9722999427770561,58.089690780350104,2.0304644442196698,2.582700865278015,391.44367168318786
Jazan - University,16.96035,42.545865,lr,loso,44,5479.720454545455,658.8391897805582,5446.229488573642,609.8509139934298,114.82083149574274,20956.842339611056,144.76478280165745,0.9517200293634831,-33.49096597181365,2.0953775370146537,2.6418278815952068,329.4150466647325
Al Jouf - TVTC,29.77634,40.02318,lr,loso,40,5857.597500000001,1618.4891058464837,5853.1884825484885,1615.8621750494306,117.10233313093019,22817.789450230175,151.0555839756683,0.9912892809317125,-4.409017451511272,1.9991529484729904,2.578797603892522,364.83138920564033
Afif - TVTC,23.92118,42.94815,lr,loso,49,6219.828571428571,1173.7154214767074,6308.00455235401,1126.096685300536,122.51197797729142,26298.53198241317,162.16822124699146,0.9809100019231703,88.17598092543832,1.9697002348274182,2.607277988205785,429.9028683025408
Hafar Al Batin - TVTC,28.33202,45.95708,lr,loso,50,5774.338000000001,1488.745472119395,5805.653406757195,1575.4194208624363,124.71799197072147,25881.76713057708,160.87811265233404,0.988322415512467,31.315406757194058,2.1598664984751754,2.7860875593415906,366.282595077987
