station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Sharurah - TVTC,17.47586,47.08618,lstm,loso,41,6656.526829268292,674.428293038572,6575.135087176067,633.8026808111148,173.58986518673785,44064.52864607021,209.91552740583583,0.9031236948355726,-81.39174209222567,2.607814399898084,3.1535293523170616,472.4734374999998
Wadi Addawasir - TVTC,20.43008,44.89433,lstm,loso,15,6290.633333333333,788.4023386289234,6188.1291015625,706.3379517178801,200.03630208333337,52106.4707172445,228.26841813366232,0.9161706978611935,-102.50423177083327,3.179907196678661,3.6287032805440202,393.85781250000036
Rania - TVTC,21.21501,42.84853,lstm,loso,28,6412.253571428572,799.1166299117612,6424.728271484375,738.7640266610074,203.42859235491076,60532.84452479979,246.03423445691413,0.9052082054184003,12.474700055803623,3.1724976264403923,3.83693863189039,539.6818359375002
Afif - TVTC,23.92118,42.94815,lstm,loso,49,6219.828571428571,1173.7154214767074,6238.7099609375,983.6874784808535,215.53910634566333,67074.4785892814,258.98741009802274,0.9513109070829496,18.881389508928564,3.4653544526253444,4.16389948892978,570.1244140625004
Hada Al Sham - KAU,21.80117,39.72854,lstm,loso,51,5853.949019607843,1122.0203016884318,5823.999578737745,949.9108502152112,244.58550091911764,89373.08944974709,298.9533231956907,0.9290086653980437,-29.949440870098016,4.178128304497985,5.1068658472143245,674.34619140625
Jazan - University,16.96035,42.545865,lstm,loso,44,5479.720454545455,658.8391897805582,5544.0576060901985,597.4367192541873,246.12198375355118,120155.86809010226,346.6350647151875,0.7231872202316242,64.33715154474436,4.491506196258457,6.325780075654261,1289.2428710937502
Majmaah - University,25.85891,45.41889,lstm,loso,51,5979.882352941176,1368.858325315889,5960.025122549019,1129.396594895937,246.5915862438725,95518.78808614239,309.06113972180714,0.9490232903160104,-19.857230392156808,4.123686248151482,5.168348162732615,670.1563476562496
Al Baha - University,20.1794,41.6357,lstm,loso,32,6122.075000000001,770.5048710099112,6007.984664916992,642.0944134305598,253.78317565917962,124192.03784082318,352.4089071530729,0.7908090095453645,-114.0903350830078,4.145378415964842,5.7563637680536885,1104.3365234374996
Riyadh - K.A.CARE City T2,24.52958,46.43635,lstm,loso,45,5906.017777777777,1218.4886161486907,5823.671733940972,995.9565265656345,261.3561089409722,99617.1451493202,315.62183883457783,0.9329048482831115,-82.34604383680553,4.425250969009293,5.3440719400159855,627.8690429687504
Riyadh - K.A.CARE HQ,24.707744,46.6792,lstm,loso,45,5699.173333333333,1256.6968934295792,5824.376356336806,1021.8227440209859,264.4530186631944,100689.68883181868,317.3163860121609,0.936243581054852,125.20302300347224,4.640199607835425,5.567761628800449,669.9852539062499
Osfan - KAU,21.89252,39.2539,lstm,loso,46,5753.413043478261,1092.5723178947324,5811.768183169158,860.3393365539035,264.85299125339674,107293.66883909414,327.557123016878,0.9101177965692024,58.35513969089675,4.60340652151889,5.693266249816324,825.5460937500002
Hail - TVTC,27.65261,41.70826,lstm,loso,46,5909.593478260869,1376.415776794803,5842.0956128991165,1141.9094746318608,269.65028766134515,136312.85737843066,369.2057114650729,0.9280488834778039,-67.49786536175272,4.56292448293246,6.2475652990893416,1107.1046875000002
Al Jubail - SWCC,26.9042,49.76274,lstm,loso,49,5368.820408163266,1346.8619593494689,5373.9307238520405,1117.8080968388979,274.3584622130103,115935.46782112893,340.4929776384954,0.9360898046562729,5.110315688775514,5.110218658010045,6.342044466989013,629.5814453125004
