fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,inference_time_ms,training_time_s
1,rf,Ensemble,loso,Afif - TVTC,1600,49,6219.828571428571,1173.7154214767074,6255.602224489795,1051.3292166156143,140.66079591836782,32651.26379210222,180.69660702985604,0.9762985795779733,35.773653061224685,2.261489915727064,2.905170214174466,0.613169387717641,0.17723298072814941
2,rf,Ensemble,loso,Al Ahsa - KFU,1631,18,5549.283333333333,1266.2999443917963,5620.550333333332,1255.3621485276228,177.38699999999966,52870.48511155533,229.9358282468292,0.9670283926220536,71.26699999999917,3.1965749330994635,4.143522945848789,1.730833333365606,0.17877721786499023
3,rf,Ensemble,loso,Al Baha - University,1617,32,6122.075000000001,770.5048710099112,6006.59009375,584.7351449601645,251.36134374999946,118402.32501846844,344.0963891389569,0.8005612914211852,-115.48490624999963,4.1058194117190565,5.620584346630135,0.9677562499064152,0.17146563529968262
4,rf,Ensemble,loso,Al Dawadmi - TVTC,1600,49,6158.08163265306,1242.735881715603,6132.706714285715,1198.5597102017484,84.33736734693846,12164.080033367267,110.29088826084985,0.9921237119085731,-25.374918367346623,1.3695396127869086,1.7909942550296087,0.6175510203988501,0.18122434616088867
5,rf,Ensemble,loso,Al Dhahran - KFUPM,1604,45,5201.251111111111,1315.5792518248752,5260.576377777777,1283.9811907635356,155.88868888888888,39302.53527700006,198.2486703032332,0.9772916000245202,59.32526666666727,2.9971382953588517,3.8115573747194564,0.7233022222256599,0.1759493350982666
6,rf,Ensemble,loso,Al Farshah - TQ TVTC,1604,45,5783.742222222222,648.1317134619026,5668.046844444444,658.8595436058666,272.72600000000034,136338.09551493372,369.23988884590153,0.6754432255155702,-115.69537777777782,4.715389958980812,6.384100028303694,0.6913022222256081,0.17587614059448242
7,rf,Ensemble,loso,Al Hanakiyah - TVTC,1598,51,6190.123529411763,1218.1734376320348,6303.793901960785,1188.8071001713163,169.18456862745063,66520.80102747047,257.9162674735164,0.9551730470439476,113.67037254901979,2.7331371954628496,4.166577068261282,0.6636509803915853,0.17753028869628906
8,rf,Ensemble,loso,Al Jouf - TVTC,1609,40,5857.597500000001,1618.4891058464837,5905.936874999999,1529.8131889550957,166.5531749999994,41044.80630072489,202.5951783748194,0.9843310949258373,48.3393749999996,2.843370084748899,3.4586736008204624,0.7806199999322416,0.17381978034973145
9,rf,Ensemble,loso,Al Jubail - SWCC,1600,49,5368.820408163266,1346.8619593494689,5348.287510204082,1248.095984684494,171.75338775510212,44862.191015020406,211.8069663987009,0.9752694197452919,-20.53289795918323,3.199089831612768,3.9451304066094184,0.6424693877919225,0.1663966178894043
10,rf,Ensemble,loso,Al Khafji - SWCC,1627,22,5728.686363636364,1368.320342043636,5585.6285,1243.6810521740308,279.85149999999953,162199.6635398633,402.74019359863166,0.9133687896380772,-143.05786363636363,4.885090267402243,7.030236393374251,1.4227090908785942,0.1721487045288086
