station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Shaqra - University,25.17279,45.14198,rf,loso,47,5994.593617021277,1329.9769433938534,6005.607468085107,1300.6678703806717,66.79972340425498,8319.86315168084,91.21328385537295,0.9952964262411379,11.01385106383022,1.114332808392237,1.5215924495094795,349.38700000000244
Riyadh - KSU,24.72359,46.61639,rf,loso,51,5913.5,1281.0528315627353,5888.804647058822,1251.0315131237344,80.84068627450954,12829.526187509735,113.26749837225917,0.9921823443633926,-24.695352941176502,1.367053120394175,1.9154054007315326,432.2549999999992
Al Dawadmi - TVTC,24.5569,44.47411,rf,loso,49,6158.08163265306,1242.735881715603,6132.706714285715,1198.5597102017484,84.33736734693846,12164.080033367267,110.29088826084985,0.9921237119085731,-25.374918367346623,1.3695396127869086,1.7909942550296087,259.6709999999948
Riyadh - K.A.CARE HQ,24.707744,46.6792,rf,loso,45,5699.173333333333,1256.6968934295792,5768.378266666666,1235.4181133805562,96.3374666666665,14299.379754444375,119.58001402594154,0.9909456742109622,69.20493333333289,1.6903761481197246,2.0981992831581695,311.66700000000037
Hada Al Sham - KAU,21.80117,39.72854,rf,loso,51,5853.949019607843,1122.0203016884318,5871.420725490195,1108.3480598335464,97.69500000000046,17293.41526829411,131.50443060328465,0.986263397211838,17.471705882351955,1.6688734335193283,2.246422545922584,371.9699999999948
Riyadh - K.A.CARE City T2,24.52958,46.43635,rf,loso,45,5906.017777777777,1218.4886161486907,5864.777377777778,1184.3045016533974,99.04542222222226,17632.04072159992,132.7856947174654,0.9881242887906412,-41.24039999999942,1.6770254670565774,2.2483118018555626,402.03899999999703
Wadi Addawasir - TVTC,20.43008,44.89433,rf,loso,15,6290.633333333333,788.4023386289234,6257.224266666668,837.2414580477534,104.86866666666629,15560.886276133226,124.74328148695314,0.9749655231061759,-33.40906666666591,1.667060550342037,1.9830003574672364,219.0319999999956
Osfan - KAU,21.89252,39.2539,rf,loso,46,5753.413043478261,1092.5723178947324,5778.740217391304,1027.0572614672699,112.59534782608685,22632.96293704355,150.44255693467707,0.9810398823997729,25.327173913043037,1.9570183293848247,2.614840196554463,486.45400000000154
Layla - TVTC,22.27948,46.73319,rf,loso,51,6283.745098039216,1045.311658059916,6206.56,1030.0788197801019,120.5990588235293,28126.13866545102,167.70849312259358,0.974259408314042,-77.1850980392158,1.9192226441706095,2.668925784003006,499.94400000000405
Mahd ad Dahab,23.419423,40.743138,rf,loso,7,5798.400000000001,949.9375588502045,5903.440571428572,894.2532197454484,121.58857142857323,24446.788671143102,156.35468867655712,0.9729085843303157,105.04057142857177,2.0969331441186054,2.696514360453868,287.2399999999998
