Model,Category,MAE,95% CI (MAE),RMSE,95% CI (RMSE),R2,95% CI (R2),t_stat_vs_champion,p_value_vs_champion,Significance,Inference_ms
FT-Transformer,Deep Learning,81.10 ± 7.21,"[75.94, 86.26]",110.47 ± 12.04,"[101.86, 119.08]",0.9919 ± 0.0023,"[0.9902, 0.9935]",-,-,Baseline Champion,0.68
Artificial Neural Network (ANN),Neural Baseline,129.13 ± 9.53,"[122.31, 135.95]",172.50 ± 14.25,"[162.31, 182.70]",0.9807 ± 0.0037,"[0.9781, 0.9833]",13.62,2.00e-07,p < 0.001 (***),0.18
Histogram Gradient Boosting (HGB),Ensemble,129.37 ± 12.36,"[120.53, 138.21]",178.39 ± 22.46,"[162.32, 194.46]",0.9792 ± 0.0055,"[0.9753, 0.9831]",9.95,3.64e-06,p < 0.001 (***),0.79
Support Vector Regression (SVR),Classical ML,114.11 ± 9.95,"[106.99, 121.23]",188.36 ± 35.15,"[163.22, 213.51]",0.9765 ± 0.0080,"[0.9708, 0.9822]",6.40,1.23e-04,p < 0.001 (***),0.19
Linear Regression (LR),Classical ML,134.28 ± 9.64,"[127.38, 141.18]",194.14 ± 42.34,"[163.86, 224.43]",0.9746 ± 0.0122,"[0.9659, 0.9833]",6.18,1.59e-04,p < 0.001 (***),0.07
XGBoost,Ensemble,155.65 ± 11.10,"[147.71, 163.59]",215.21 ± 20.70,"[200.40, 230.02]",0.9697 ± 0.0067,"[0.9649, 0.9745]",15.01,1.06e-07,p < 0.001 (***),0.33
Random Forest (RF),Ensemble,163.60 ± 17.87,"[150.82, 176.38]",230.28 ± 26.87,"[211.06, 249.51]",0.9653 ± 0.0090,"[0.9589, 0.9717]",14.28,1.49e-07,p < 0.001 (***),30.86
1D CNN,Deep Learning,214.28 ± 19.76,"[200.14, 228.42]",283.96 ± 25.74,"[265.55, 302.37]",0.9471 ± 0.0133,"[0.9376, 0.9566]",21.65,3.03e-10,p < 0.001 (***),1.32
Solar LSTM,Deep Learning,273.68 ± 40.51,"[244.70, 302.66]",362.18 ± 55.91,"[322.18, 402.18]",0.9117 ± 0.0335,"[0.8877, 0.9357]",18.32,4.41e-09,p < 0.001 (***),0.52
Decision Tree (DT),Classical ML,280.33 ± 23.14,"[263.78, 296.88]",410.28 ± 51.76,"[373.25, 447.31]",0.8895 ± 0.0312,"[0.8672, 0.9118]",16.89,4.33e-08,p < 0.001 (***),0.08
K-Nearest Neighbors (KNN),Classical ML,337.79 ± 22.74,"[321.52, 354.06]",447.20 ± 27.45,"[427.56, 466.84]",0.8699 ± 0.0236,"[0.8530, 0.8868]",27.41,4.07e-11,p < 0.001 (***),2.94
