record_id,fold,model_name,cv_strategy,station_name,latitude,longitude,date,actual_ghi,predicted_ghi,residual_error,absolute_error,squared_error,relative_error_pct,air_temperature_c,wind_speed_m_s,dhi_wh_m2,dni_wh_m2,diffuse_fraction,relative_humidity_pct,barometric_pressure_mb
23,1,transformer,kfold,Sharurah - TVTC,17.47586,47.08618,01-03-2020 00:00,6779.9,6859.04345703125,79.14345703125036,79.14345703125036,6263.686790857372,1.1673248430102268,26.9,4.2,3186.7,4887.2,0.394691536927631,26.1,929.2
29,1,transformer,kfold,Sharurah - TVTC,17.47586,47.08618,01-12-2020 00:00,5510.5,5467.71484375,-42.78515625,42.78515625,1830.569595336914,0.7764296570184194,21.2,3.3,1098.5,7951.0,0.12138792198464003,35.8,934.1
30,1,transformer,kfold,Sharurah - TVTC,17.47586,47.08618,01-01-2021 00:00,5912.8,5864.40234375,-48.39765625000018,48.39765625000018,2342.3331304931817,0.818523478724127,19.8,3.2,1163.1,8247.4,0.12359598321024387,26.6,934.3
32,1,transformer,kfold,Sharurah - TVTC,17.47586,47.08618,01-03-2021 00:00,7471.9,7585.34521484375,113.44521484375036,113.44521484375036,12869.816770944677,1.5182913963483233,27.7,3.6,1970.8,7876.3,0.20014014278315442,16.1,930.2
49,1,transformer,kfold,Layla - TVTC,22.27948,46.73319,01-11-2017 00:00,5221.3,5220.23046875,-1.069531250000182,1.069531250000182,1.1438970947269516,0.02048400302606979,23.5,2.0,1532.9,6449.1,0.1920446003507893,33.0,953.4
51,1,transformer,kfold,Layla - TVTC,22.27948,46.73319,01-04-2018 00:00,6787.2,6672.00537109375,-115.19462890624982,115.19462890624982,13269.802528848606,1.697233452767707,28.6,3.1,3720.5,3832.4,0.49259224933469264,30.9,948.0
59,1,transformer,kfold,Layla - TVTC,22.27948,46.73319,01-12-2018 00:00,4692.0,4697.93017578125,5.93017578125,5.93017578125,35.16698479652405,0.1263890831468457,19.0,2.2,1472.6,6052.0,0.19570475507003693,45.1,955.5
65,1,transformer,kfold,Layla - TVTC,22.27948,46.73319,01-06-2019 00:00,7413.6,7430.31103515625,16.711035156249636,16.711035156249636,279.2586959934113,0.2254105314051154,38.1,2.4,2893.3,5815.2,0.33223861744272837,11.8,942.6
69,1,transformer,kfold,Layla - TVTC,22.27948,46.73319,01-10-2019 00:00,6062.9,6061.79052734375,-1.1094726562496362,1.1094726562496362,1.2309295749656235,0.018299372515621835,30.9,2.0,1746.7,6659.7,0.2077821659687857,21.8,949.6
70,1,transformer,kfold,Layla - TVTC,22.27948,46.73319,01-11-2019 00:00,4899.4,4871.11181640625,-28.288183593749636,28.288183593749636,800.221331033686,0.5773805689216973,22.7,2.0,1723.7,5485.0,0.23911384854412032,41.9,953.3
73,1,transformer,kfold,Layla - TVTC,22.27948,46.73319,01-02-2020 00:00,5617.1,5745.13134765625,128.03134765624964,128.03134765624964,16392.02598267546,2.279314017130719,19.8,2.6,2383.7,5143.7,0.3166697664532242,25.9,954.4
76,1,transformer,kfold,Layla - TVTC,22.27948,46.73319,01-05-2020 00:00,7397.1,7369.103515625,-27.996484375000364,27.996484375000364,783.8031373596395,0.3784791928593687,34.1,2.6,3319.9,5199.9,0.38966877156740776,16.1,946.8
78,1,transformer,kfold,Layla - TVTC,22.27948,46.73319,01-10-2020 00:00,6364.6,6259.5322265625,-105.06777343750036,105.06777343750036,11039.237015113908,1.6508150305989435,28.0,2.2,1289.4,8065.7,0.1378285640987269,17.0,950.6
99,1,transformer,kfold,Osfan - KAU,21.89252,39.2539,01-03-2018 00:00,6460.5,6630.52197265625,170.02197265625,170.02197265625,28907.471185922623,2.631715388224596,28.2,3.2,2231.4,6115.0,0.26734879708616893,49.9,997.8
109,1,transformer,kfold,Osfan - KAU,21.89252,39.2539,01-01-2019 00:00,4045.3,4020.78955078125,-24.510449218750182,24.510449218750182,600.7621209049314,0.6058994195424364,24.7,3.2,2080.9,3446.8,0.3764495178826636,64.3,1001.7
123,1,transformer,kfold,Osfan - KAU,21.89252,39.2539,01-03-2020 00:00,6308.6,6434.12109375,125.52109374999964,125.52109374999964,15755.544976196197,1.9896822393240914,25.6,3.6,2436.8,5455.8,0.30874490028634416,54.4,998.1
124,1,transformer,kfold,Osfan - KAU,21.89252,39.2539,01-09-2020 00:00,6212.3,6285.6171875,73.31718749999982,73.31718749999982,5375.40998291013,1.180193929784457,34.7,2.8,2468.7,5044.1,0.3285991907145139,56.4,992.0
135,1,transformer,kfold,Osfan - KAU,21.89252,39.2539,01-09-2021 00:00,5972.5,6044.62451171875,72.12451171875,72.12451171875,5201.945190668106,1.2076100748221013,32.8,3.2,2714.6,4315.4,0.3861450924608819,63.8,992.7
162,1,transformer,kfold,Al Farshah - TQ TVTC,17.7749,43.17555,01-07-2019 00:00,5393.4,5596.06103515625,202.66103515625036,202.66103515625036,41071.495170602946,3.7575747238523083,31.2,2.2,3556.0,2203.4,0.6174254262596799,43.3,888.2
168,1,transformer,kfold,Al Farshah - TQ TVTC,17.7749,43.17555,01-01-2020 00:00,4697.5,4697.25732421875,-0.24267578125,0.24267578125,0.05889153480529785,0.005166062400212879,21.8,2.0,1669.2,5022.5,0.24944334025733372,53.2,896.0
173,1,transformer,kfold,Al Farshah - TQ TVTC,17.7749,43.17555,01-09-2020 00:00,6443.4,6213.41845703125,-229.98154296874964,229.98154296874964,52891.510106286834,3.5692575809161258,30.1,2.2,2029.4,5886.9,0.2563571365410609,39.5,890.3
185,1,transformer,kfold,Hada Al Sham - KAU,21.80117,39.72854,01-03-2017 00:00,5374.8,5378.8818359375,4.081835937499818,4.081835937499818,16.661384620665018,0.07594395954267727,26.9,2.0,2605.2,3849.1,0.40363788482097207,50.7,983.8
188,1,transformer,kfold,Hada Al Sham - KAU,21.80117,39.72854,01-06-2017 00:00,7303.9,7350.6630859375,46.763085937500364,46.763085937500364,2186.786206398044,0.6402481679308365,35.2,2.0,2732.3,5928.5,0.3154789395898763,34.0,977.8
203,1,transformer,kfold,Hada Al Sham - KAU,21.80117,39.72854,01-02-2019 00:00,4777.5,4695.8623046875,-81.6376953125,81.6376953125,6664.7132959365845,1.7087952969649398,24.0,2.3,2181.9,4078.1,0.34854632587859424,49.5,987.1
251,1,transformer,kfold,Dammam - IAFU,26.394974,50.188715,01-07-2019 00:00,7556.3,7593.27294921875,36.97294921874982,36.97294921874982,1366.9989739322527,0.4892996469005971,36.0,0.0,2343.0,6820.9,0.2556771680179836,32.5,995.5
259,1,transformer,kfold,Timaa - TVTC,27.6173,38.5252,01-02-2017 00:00,5392.6,5423.73095703125,31.130957031249636,31.130957031249636,969.1364856815112,0.5772903058125883,12.5,2.3,1649.3,6580.6,0.200403407088786,28.9,921.8
261,1,transformer,kfold,Timaa - TVTC,27.6173,38.5252,01-04-2017 00:00,6508.5,6532.43017578125,23.93017578125,23.93017578125,572.653312921524,0.36767574373895673,25.1,3.1,2727.9,5257.1,0.34162805259862244,21.1,918.3
270,1,transformer,kfold,Timaa - TVTC,27.6173,38.5252,01-06-2018 00:00,8218.7,8206.6455078125,-12.054492187500728,12.054492187500728,145.31078189851607,0.14667151967465325,32.3,2.5,2262.5,8035.6,0.21970072149231412,17.1,914.3
271,1,transformer,kfold,Timaa - TVTC,27.6173,38.5252,01-07-2018 00:00,8005.7,8011.216796875,5.516796875000182,5.516796875000182,30.435047760011773,0.06891086194836406,33.4,2.5,2187.6,7878.7,0.2173191738771942,17.9,912.7
275,1,transformer,kfold,Timaa - TVTC,27.6173,38.5252,01-11-2018 00:00,3967.4,3994.669189453125,27.26918945312491,27.26918945312491,743.6086934304187,0.6873314879549556,18.0,2.2,1406.4,4995.9,0.2196710557143527,59.7,920.0
289,1,transformer,kfold,Timaa - TVTC,27.6173,38.5252,01-01-2020 00:00,4477.6,4391.50634765625,-86.09365234375036,86.09365234375036,7412.116973886553,1.9227633630460594,11.1,1.9,1155.3,6835.6,0.14457695628777734,39.6,922.2
297,1,transformer,kfold,Timaa - TVTC,27.6173,38.5252,01-12-2020 00:00,3823.8,3821.19580078125,-2.604199218750182,2.604199218750182,6.781853570939058,0.0681050059822737,15.0,1.9,1186.1,5481.4,0.1778927634045744,45.8,921.7
303,1,transformer,kfold,Timaa - TVTC,27.6173,38.5252,01-07-2021 00:00,8089.8,8145.18603515625,55.38603515624982,55.38603515624982,3067.6128903293406,0.6846403515074516,34.9,2.5,1961.6,8305.6,0.1910550101293439,16.6,911.9
331,1,transformer,kfold,Hail - TVTC,27.65261,41.70826,01-08-2019 00:00,7644.2,7626.16455078125,-18.035449218749818,18.035449218749818,325.27742852210343,0.23593638600180292,33.2,3.3,1908.1,7915.6,0.1942343516190437,11.1,904.4
342,1,transformer,kfold,Hail - TVTC,27.65261,41.70826,01-10-2020 00:00,5948.5,5926.94970703125,-21.55029296875,21.55029296875,464.4151270389557,0.36228112917121963,25.6,2.5,1173.5,8055.1,0.1271590490431918,11.7,911.6
344,1,transformer,kfold,Hail - TVTC,27.65261,41.70826,01-12-2020 00:00,3597.5,3644.083251953125,46.583251953125,46.583251953125,2169.999362528324,1.2948784420604587,13.6,3.4,1356.6,4611.2,0.2273199504004826,52.0,913.3
351,1,transformer,kfold,Hail - TVTC,27.65261,41.70826,01-08-2021 00:00,7648.0,7675.13134765625,27.13134765625,27.13134765625,736.1100256443024,0.3547508846266998,34.5,3.0,1929.6,7915.2,0.1960019502681619,8.7,904.5
361,1,transformer,kfold,Madinah - Taibah University,24.4846,39.5418,01-10-2017 00:00,5871.0,5755.720703125,-115.279296875,115.279296875,13289.316287994385,1.9635376745869528,32.0,2.2,1478.9,6881.4,0.17689556594859038,14.9,939.1
374,1,transformer,kfold,Madinah - Taibah University,24.4846,39.5418,01-11-2019 00:00,4642.0,4537.541015625,-104.458984375,104.458984375,10911.679416656494,2.2503012575398533,25.4,2.0,1378.9,5787.4,0.19241449562535762,31.5,940.6
381,1,transformer,kfold,Al Hanakiyah - TVTC,24.85577,40.536,01-03-2017 00:00,6075.7,6161.50146484375,85.80146484375018,85.80146484375018,7361.891369333299,1.41220706821848,23.4,3.7,2622.9,5070.3,0.34093745125565433,24.6,914.7
394,1,transformer,kfold,Al Hanakiyah - TVTC,24.85577,40.536,01-09-2018 00:00,6388.5,6543.8623046875,155.3623046875,155.3623046875,24137.445717811584,2.4319058415512247,36.4,3.2,2709.2,4977.0,0.3524758658374749,12.5,913.7
405,1,transformer,kfold,Al Hanakiyah - TVTC,24.85577,40.536,01-08-2019 00:00,7554.9,7608.35693359375,53.456933593750364,53.456933593750364,2857.643749246636,0.7075796316794447,35.8,3.5,1981.2,7644.3,0.20582826866136825,14.1,911.2
411,1,transformer,kfold,Al Hanakiyah - TVTC,24.85577,40.536,01-02-2020 00:00,5470.3,5626.97900390625,156.67900390624982,156.67900390624982,24548.310265054646,2.864175710769973,19.0,3.3,1798.4,6283.0,0.22253569926002922,29.9,918.9
413,1,transformer,kfold,Al Hanakiyah - TVTC,24.85577,40.536,01-04-2020 00:00,7323.4,7479.1572265625,155.75722656250036,155.75722656250036,24260.31362644207,2.126843086032449,27.1,3.7,2781.8,6290.0,0.3066425626667255,22.5,914.3
420,1,transformer,kfold,Al Hanakiyah - TVTC,24.85577,40.536,01-02-2021 00:00,5417.2,5510.95361328125,93.75361328125018,93.75361328125018,8789.74000329021,1.7306655335090115,19.5,3.3,1664.4,6361.5,0.20737861174447728,35.0,918.1
422,1,transformer,kfold,Al Hanakiyah - TVTC,24.85577,40.536,01-04-2021 00:00,7305.7,7322.03125,16.331250000000182,16.331250000000182,266.7097265625059,0.2235412075502715,28.2,3.7,2827.2,5988.0,0.32071875850803155,19.7,916.1
425,1,transformer,kfold,Al Hanakiyah - TVTC,24.85577,40.536,01-08-2021 00:00,7545.6,7616.9443359375,71.34433593749964,71.34433593749964,5090.014270362802,0.9455091170682204,37.2,3.3,2170.8,7263.2,0.23010387958448167,12.2,910.8
433,1,transformer,kfold,Al Uwayqilah,30.327166,42.253735,01-12-2021 00:00,3175.3,3194.96533203125,19.665332031249818,19.665332031249818,386.7252838993001,0.6193220178014618,12.7,2.9,1420.0,3801.5,0.2719525040697118,47.4,968.6
438,1,transformer,kfold,Tabuk - University,28.38287,36.48396,01-05-2017 00:00,7630.7,7594.01708984375,-36.68291015624982,36.68291015624982,1345.635897531496,0.4807279824426307,27.5,0.0,1894.8,7888.3,0.19368093957947888,17.3,925.1
450,1,transformer,kfold,Tabuk - University,28.38287,36.48396,01-06-2019 00:00,7896.1,7945.419921875,49.319921874999636,49.319921874999636,2432.4546937560676,0.6246111608895485,31.4,3.0,1917.9,8159.0,0.19032639006043528,18.3,923.1
451,1,transformer,kfold,Tabuk - University,28.38287,36.48396,01-07-2019 00:00,8313.3,8175.1396484375,-138.16035156249927,138.16035156249927,19088.282743873395,1.6619194731634763,31.8,2.8,1500.0,9425.8,0.13728971791539293,18.7,921.0
478,1,transformer,kfold,Farasan - SWCC,16.692097,42.098767,01-05-2017 00:00,6306.4,6203.7177734375,-102.68222656249964,102.68222656249964,10543.639651832505,1.6282225447561152,32.6,3.2,2936.2,4173.1,0.41300831305473107,71.0,1005.7
479,1,transformer,kfold,Farasan - SWCC,16.692097,42.098767,01-06-2017 00:00,6265.1,6161.5908203125,-103.50917968750036,103.50917968750036,10714.150279579238,1.6521552678728249,33.6,3.5,3288.5,3596.8,0.4776117235269342,69.4,1001.8
