station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Thuwal - KAUST,22.3065,39.107,transformer,kfold,46,5567.534782608695,1035.9074126029905,5539.7668085512905,1029.0343163615391,47.5680335003397,4755.64854320594,68.96121042445485,0.995568325343151,-27.76797405740492,0.8543823318163711,1.2386309761345171,243.55224609375
Al Uwayqilah,30.327166,42.253735,transformer,kfold,4,4700.0,1374.397007781958,4666.514892578125,1384.9415517682794,51.39658203125009,3765.566430649766,61.36421131775236,0.9980065474084334,-33.485107421875,1.0935442985372361,1.3056215173989865,86.40966796875
Al Dawadmi - TVTC,24.5569,44.47411,transformer,kfold,49,6158.081632653061,1242.7358817156028,6183.833710339604,1252.8958679993023,55.142198461415795,4496.560843638053,67.05640046735324,0.9970884597496915,25.752077686543377,0.8954444216690111,1.0889170437720166,143.30986328124982
Shaqra - University,25.17279,45.14198,transformer,kfold,47,5994.593617021277,1329.9769433938536,5999.772076545878,1352.1996356887219,55.66302983710104,4729.275378934879,68.76972719834563,0.9973263387672072,5.178459524601071,0.9285538502401449,1.1471958166284741,159.61103515625018
Layla - TVTC,22.27948,46.73319,transformer,kfold,51,6283.745098039214,1045.311658059916,6291.822533700981,1068.4536647775913,57.50937882965686,5149.823290254559,71.7622692663391,0.9952869641956181,8.077435661764689,0.9152086523624604,1.142030240671791,141.79472656249982
Al Qunfudhah - TVTC,19.15197,41.08111,transformer,kfold,45,5561.022222222222,862.9555088026493,5538.2436740451385,842.7992415082299,59.48302734374999,6137.8774355025835,78.3446069331041,0.9917578331669697,-22.778548177083355,1.0696419644944373,1.4088166492130483,209.36591796875018
Riyadh - K.A.CARE City T2,24.52958,46.43635,transformer,kfold,45,5906.017777777777,1218.4886161486907,5882.469612630209,1231.677645869651,60.48942816840273,6608.9527781459465,81.2954659138254,0.9955486709775232,-23.548165147569428,1.0241998999055288,1.3764852896263031,270.93251953125036
Jeddah - KAU,21.49604,39.24492,transformer,kfold,46,5424.1391304347835,1065.8639036375632,5408.0784062924595,1084.9255862799523,61.04553222656252,5535.749349562762,74.40261655051361,0.9951272637095948,-16.06072414232344,1.1254418583040529,1.3716944709814203,149.11738281250018
Riyadh - K.A.CARE HQ,24.707744,46.6792,transformer,kfold,45,5699.173333333334,1256.6968934295794,5673.031114366319,1296.0817456232862,63.74640950520833,6131.696505444363,78.30514992926304,0.9961174275560769,-26.14221896701387,1.118520279640702,1.3739738265420312,189.15156250000018
Riyadh - KSU,24.72359,46.61639,transformer,kfold,51,5913.5,1281.0528315627353,5881.821557138481,1311.9285886372286,64.78265165441178,6383.87692817557,79.89916725583296,0.9961099926278223,-31.678442861519606,1.095504382420086,1.3511316015191166,195.91118164062482
Timaa - TVTC,27.6173,38.5252,transformer,kfold,51,6221.5921568627455,1460.165548610927,6244.454465379902,1455.0245875534197,67.20215609681377,7025.024564520613,83.8154196107173,0.9967050892719234,22.862308517156812,1.0801440274847691,1.3471699445657885,215.34091796874964
Osfan - KAU,21.89252,39.2539,transformer,kfold,46,5753.413043478261,1092.5723178947321,5795.9349365234375,1109.0603532558412,67.34436035156246,7091.63728207759,84.21185950967708,0.9940591836243289,42.52189304517664,1.170511483229944,1.4636852746933373,208.72353515625036
Hail - TVTC,27.65261,41.70826,transformer,kfold,46,5909.593478260869,1376.4157767948027,5909.3986338739805,1391.9509480358522,68.73715289572011,8053.1821023756,89.73952363577378,0.995749223844572,-0.19484438688858102,1.1631452002337854,1.5185397094722526,239.30087890624964
Wadi Addawasir - TVTC,20.43008,44.89433,transformer,kfold,15,6290.633333333333,788.4023386289234,6244.273470052083,817.2990281231521,68.84069661458325,7829.799895199455,88.48615651727368,0.987403356011908,-46.359863281249936,1.094336499471435,1.4066335109438957,205.68320312499964
Al Wajh - TVTC,26.256,36.443,transformer,kfold,19,6172.1578947368425,1468.5868779977395,6170.030594675164,1511.014611202842,69.10660207648019,7527.835613431792,86.76310052915233,0.9965096350412606,-2.12730006167756,1.1196505866353348,1.4057174493727298,190.091796875
Taif - University,21.43278,40.49173,transformer,kfold,25,6213.852000000001,1028.2639618774938,6222.450625,1027.6987890443177,69.90977343750005,6995.139383235173,83.63694986807668,0.9933841272663535,8.598625000000029,1.12506338157877,1.345975891734735,172.71484375
Hada Al Sham - KAU,21.80117,39.72854,transformer,kfold,51,5853.949019607843,1122.0203016884318,5881.284950405944,1156.0883528761472,70.5267913219976,6785.110271274772,82.3717807946069,0.9946104130835706,27.335930798100517,1.2047728992132938,1.407114761654091,168.17324218750036
Majmaah - University,25.85891,45.41889,transformer,kfold,51,5979.882352941177,1368.858325315889,5971.918557559743,1393.090919447309,73.1322428385417,8035.193704259121,89.63924198842335,0.9957117573942915,-7.96379538143377,1.2229712646867035,1.4990134704629217,238.65302734375018
Al Ahsa - KFU,25.34616,49.5956,transformer,kfold,18,5549.283333333333,1266.2999443917963,5541.7080485026045,1303.0860201481687,76.30057779947924,9091.105803813805,95.34729049015397,0.9943305159662852,-7.575284830729263,1.3749627333165408,1.7181910665368918,165.70273437499964
Afif - TVTC,23.92118,42.94815,transformer,kfold,49,6219.828571428571,1173.7154214767074,6274.93626434949,1177.0236800567625,77.1366629464286,7928.626909393778,89.04283749630724,0.9942446417711283,55.10769292091836,1.240173455917481,1.4315963289620999,156.36396484375018
Farasan - SWCC,16.692097,42.098767,transformer,kfold,38,5479.676315789474,759.3133440412187,5441.524041426809,717.0958185160941,77.32088044819078,14267.4415925691,119.44639631470302,0.9752540552465644,-38.15227436266449,1.4110483173138104,2.1798075183843046,530.5305664062498
Rania - TVTC,21.21501,42.84853,transformer,kfold,28,6412.253571428572,799.1166299117612,6396.063092912947,793.8533622994325,77.69082031250004,10084.11260640348,100.41968236557751,0.9842087194443291,-16.19047851562495,1.2115993144543014,1.5660591279955454,278.24326171874964
Hafar Al Batin - TVTC,28.33202,45.95708,transformer,kfold,50,5774.338000000001,1488.745472119395,5825.807861328125,1540.510434938248,80.95805664062496,12098.798583594324,109.994538880775,0.9945411477529812,51.46986132812499,1.4020318284212832,1.9048857008504696,361.7726562500002
Al Jubail - SWCC,26.9042,49.76274,transformer,kfold,49,5368.820408163266,1346.8619593494689,5338.046605947066,1373.3798607710773,83.67554408482148,12283.297013197065,110.83003660198378,0.9932287510773699,-30.773802216198977,1.5585461558295604,2.0643275091390136,343.5558593750002
Sharurah - TVTC,17.47586,47.08618,transformer,kfold,41,6656.526829268292,674.428293038572,6651.245272008384,717.8538704406873,84.27652677210368,10047.942347083448,100.23942511349239,0.977909498660269,-5.28155725990859,1.2660735685995521,1.505881786170327,216.52998046875018
Hagl - SWCC,29.28997,34.93002,transformer,kfold,51,5767.360784313726,1417.5352506013471,5743.37042834712,1424.850037462781,85.56892712162993,11789.81754121683,108.58092623116102,0.9941326857559875,-23.99035596660544,1.4836756416273342,1.8826796223063293,301.83847656249964
Jazan - University,16.96035,42.545865,transformer,kfold,44,5479.720454545453,658.8391897805582,5441.5915860262785,642.984283509835,88.69588734019885,15011.646242771798,122.52202350096817,0.9654164578774871,-38.12886851917609,1.6186206591364567,2.2359174070519527,382.8141601562502
Umluj - SWCC,25.00411,37.27382,transformer,kfold,51,5969.813725490198,1184.3944103310246,5989.171764897365,1191.7358391894907,88.9300082337623,12419.641500209598,111.44344529944145,0.9911464720701872,19.35803940716909,1.4896613583443095,1.866782623779279,262.7350585937502
Mahd ad Dahab,23.419423,40.743138,transformer,kfold,7,5798.400000000001,949.9375588502045,5742.1083984375,948.0068623187419,89.70733816964275,10673.529006437539,103.31277271682112,0.9881718202392302,-56.2916015624999,1.547105031899192,1.7817462182122843,170.78720703124964
Al Khafji - SWCC,28.50676,48.455128,transformer,kfold,22,5728.686363636363,1368.320342043636,5725.702414772727,1426.7387355098424,92.3181995738636,11477.332836902135,107.13231462496334,0.9938699303457981,-2.9839488636363183,1.6115073109930798,1.870102634785536,225.2748046874999
Al Baha - University,20.1794,41.6357,transformer,kfold,32,6122.075000000001,770.5048710099112,6083.3035888671875,746.156607850225,92.55549926757811,16070.471488543732,126.76936336727313,0.9729306491284871,-38.77141113281249,1.5118321691187728,2.070692753147799,435.68124999999964
Arar - TVTC,31.027395,40.906419,transformer,kfold,37,5733.135135135134,1774.237785827315,5744.365524704392,1795.6137653725314,93.19960145692565,17295.244077584943,131.51138383267414,0.9945058179330021,11.230389569256781,1.625630641178474,2.2938825046476827,411.12441406250036
Al Hanakiyah - TVTC,24.85577,40.536,transformer,kfold,51,6190.123529411766,1218.1734376320348,6268.70503504136,1252.3926453825254,95.36892903645837,27305.08548830206,165.24250508964712,0.9815996836517401,78.58150562959563,1.540662776491006,2.6694540796239936,796.3109375000004
Al Jouf - TVTC,29.77634,40.02318,transformer,kfold,40,5857.597500000001,1618.4891058464837,5903.107440185547,1669.5173623784103,102.88328247070312,17241.42266424829,131.3065979463648,0.9934180657818124,45.50994018554691,1.7564075112826223,2.2416459640042663,348.55029296875
Tabuk - University,28.38287,36.48396,transformer,kfold,34,6011.488235294118,1461.0986017306425,5958.948615579044,1433.622557161044,103.37887465533092,18450.07673463106,135.8310595358479,0.9913575052085966,-52.539619715073485,1.7196885464797558,2.259524667092728,333.64208984375
Najran - University,17.63228,44.53735,transformer,kfold,50,6840.951999999999,698.6154293286113,6902.6037890625,703.3753718008124,103.82694531249997,18723.615330053704,136.834262266633,0.9616369291376315,61.65178906249994,1.5177265578314245,2.0002225167876198,363.064453125
Al Dhahran - KFUPM,26.30355,50.14412,transformer,kfold,45,5201.251111111112,1315.5792518248752,5179.932562934027,1374.412144677192,103.99820746527777,16674.498055748198,129.12977215091877,0.9903657316615431,-21.318548177083287,1.9994844556363145,2.4826675234938533,301.2219726562498
Makkah - UQU,21.331,39.949,transformer,kfold,23,5840.304347826087,1196.1438442211092,5815.975479789402,1164.66710681099,106.675004245924,38547.809948199334,196.33596193310927,0.973057810282706,-24.32886803668482,1.8265315965191302,3.3617419613789585,821.99169921875
Dammam - IAFU,26.394974,50.188715,transformer,kfold,24,5679.474999999999,1462.4693592944093,5754.3924560546875,1470.1765377425725,107.47975260416668,25271.755684183445,158.9709271665214,0.9881842345123772,74.91745605468743,1.8924240815245543,2.7990426433168807,563.1735351562502
Duba - TVTC,27.34103,35.72295,transformer,kfold,51,6060.007843137256,1282.3317258933441,6110.509976256128,1291.438137751989,116.49010608149511,18866.919540440715,137.3569056889413,0.9885263863193197,50.502133118872514,1.9222764903417746,2.2666126718712607,336.17617187500036
Madinah - Taibah University,24.4846,39.5418,transformer,kfold,24,5939.904166666667,1174.7210255627954,5885.0621337890625,1231.0431587477349,121.37816569010421,23153.943668607088,152.16419969430092,0.9832214089719811,-54.84203287760422,2.043436430696133,2.561728193330295,346.9700195312498
