fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,inference_time_ms,training_time_s
1,transformer,Deep Learning,loso,Afif - TVTC,1600,49,6219.828571428571,1173.7154214767074,6305.29833984375,1165.4222412109375,92.26801458864793,11677.726444141821,108.06352966723705,0.9915231855713661,85.46986806441326,1.4834494798215283,1.7374036667768964,0.5521816326238748,17.1942138671875
2,transformer,Deep Learning,loso,Al Ahsa - KFU,1631,18,5549.283333333333,1266.2999443917963,5557.685546875,1281.4337158203125,51.826687282986185,4234.097582993516,65.0699437758595,0.9973594907856091,8.402566189236016,0.9339347834642827,1.1725828339850402,0.1482999998390571,17.246020317077637
3,transformer,Deep Learning,loso,Al Baha - University,1617,32,6122.075000000001,770.5048710099112,6050.634765625,765.1192626953125,101.87603454589839,16267.787082461404,127.545235436144,0.9725982876885638,-71.44021911621093,1.6640768782789885,2.083366104403229,0.08899687497887498,17.191411018371582
4,transformer,Deep Learning,loso,Al Dawadmi - TVTC,1600,49,6158.08163265306,1242.735881715603,6195.64208984375,1272.475341796875,62.122677176339224,5444.286268525263,73.78540688052932,0.9964748039321117,37.560741191007665,1.0087991826372587,1.1981881904469114,0.1085489795736883,18.18908452987671
5,transformer,Deep Learning,loso,Al Dhahran - KFUPM,1604,45,5201.251111111111,1315.5792518248752,5126.634765625,1344.815673828125,87.93048936631943,13213.52455337211,114.95009592589346,0.9923654288831746,-74.6168174913194,1.69056420249503,2.2100470342670575,0.09159333332920343,17.05404567718506
6,transformer,Deep Learning,loso,Al Farshah - TQ TVTC,1604,45,5783.742222222222,648.1317134619026,5618.86962890625,638.1743774414062,220.83476779513887,65446.70691251863,255.8255399926259,0.844202223773705,-164.87283203124994,3.8181986559955994,4.4231836441412655,0.09460444448955564,17.34845209121704
7,transformer,Deep Learning,loso,Al Hanakiyah - TVTC,1598,51,6190.123529411763,1218.1734376320348,6265.01904296875,1246.8128662109375,95.31417260263486,27453.141624000447,165.689895962308,0.9814999117709555,74.89573854932601,1.5397781990901949,2.6766815746898867,0.11713921569525174,17.41789937019348
8,transformer,Deep Learning,loso,Al Jouf - TVTC,1609,40,5857.597500000001,1618.4891058464837,5913.20849609375,1644.325439453125,86.60806518554685,13589.596445659932,116.57442449208116,0.9948121549132646,55.61113647460941,1.4785595149811308,1.990140573709292,0.11117250005554524,17.547749996185303
9,transformer,Deep Learning,loso,Al Jubail - SWCC,1600,49,5368.820408163266,1346.8619593494689,5342.78515625,1362.700439453125,79.29681620695158,10319.273135852485,101.58382319962409,0.9943114322621691,-26.035017737563773,1.47698768404287,1.8921069336788836,0.10604489802879433,17.20178461074829
10,transformer,Deep Learning,loso,Al Khafji - SWCC,1627,22,5728.686363636364,1368.320342043636,5739.708984375,1427.556884765625,94.41162775213068,13056.067278054077,114.26314925667889,0.9930267246788306,11.022121360085272,1.6480502118499916,1.9945785473957898,0.14452272725148677,17.77233338356018
