station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Al Uwayqilah,30.327166,42.253735,transformer,loso,4,4700.0,1374.3970077819579,4680.307189941406,1346.8016122204858,49.47457275390616,2485.274728465667,49.852529810087546,0.9986843208214601,-19.69281005859375,1.052650484125663,1.060692123618884,59.56352539062482
Layla - TVTC,22.27948,46.73319,transformer,loso,51,6283.745098039216,1045.311658059916,6280.918437882966,1045.3429403791886,50.04640203737745,3717.05561154964,60.96766037457596,0.9965982102303852,-2.8266601562500178,0.7964422690060098,0.9702440093185886,150.654296875
Al Ahsa - KFU,25.34616,49.5956,transformer,loso,18,5549.283333333333,1266.2999443917963,5557.685899522569,1281.4337235896153,51.826687282986185,4234.097582993516,65.0699437758595,0.9973594907856091,8.402566189236016,0.9339347834642827,1.1725828339850402,146.04843749999964
Umluj - SWCC,25.00411,37.27382,transformer,loso,51,5969.813725490198,1184.3944103310246,5995.69864430147,1176.6611626824224,59.11750536151965,5623.333547395819,74.98888949301636,0.9959913222439084,25.884918811274485,0.9902738691677577,1.256134494998147,196.78076171875
Riyadh - KSU,24.72359,46.61639,transformer,loso,51,5913.5,1281.0528315627353,5894.165962967219,1311.844615624389,61.11221947763478,5784.166891554895,76.05371057058883,0.9964754251839116,-19.33403703278186,1.0334356891457646,1.2861031634495448,190.3214355468749
Shaqra - University,25.17279,45.14198,transformer,loso,47,5994.593617021277,1329.9769433938534,5998.521286984707,1355.0120474201324,61.287680767952125,5941.547075792579,77.0814314591561,0.9966409898332167,3.927669963430859,1.0223825780938602,1.285849156484739,174.24257812500036
Taif - University,21.43278,40.49173,transformer,loso,25,6213.852,1028.2639618774938,6209.873828125,999.3583473711517,61.84907812500009,5686.057646147925,75.40595232571448,0.9946222324270979,-3.978171874999971,0.9953419895581692,1.213513812780132,164.92363281249982
Hada Al Sham - KAU,21.80117,39.72854,transformer,loso,51,5853.949019607843,1122.0203016884318,5846.579321767769,1159.7758284423915,61.9527516084559,5553.7266094565,74.5233292966471,0.99558853267301,-7.3696978400735045,1.0583069890247545,1.2730437017307579,159.2646484375
Al Dawadmi - TVTC,24.5569,44.47411,transformer,loso,49,6158.08163265306,1242.735881715603,6195.642373844069,1272.4752815665188,62.122677176339224,5444.286268525263,73.78540688052932,0.9964748039321117,37.560741191007665,1.0087991826372587,1.1981881904469114,160.81093750000036
Osfan - KAU,21.89252,39.2539,transformer,loso,46,5753.413043478261,1092.5723178947324,5793.6960289996605,1100.2030310384305,62.43114491338315,6274.152385157552,79.20954731064654,0.9947440082239682,40.28298552139947,1.0851149472772776,1.3767401490569835,169.32509765625036
Jeddah - KAU,21.49604,39.24492,transformer,loso,46,5424.1391304347835,1065.8639036375632,5388.122590438179,1073.877298157648,62.65703125000004,6038.742378093372,77.70934550035389,0.9946845138253112,-36.016539996603335,1.1551516239403252,1.4326576739952637,187.86347656250018
