fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,inference_time_ms,training_time_s
1,xgb,Ensemble,loso,Afif - TVTC,1600,49,6219.828571428571,1173.7154214767074,6234.5390625,1109.2344970703125,140.34847138073985,32768.229496866945,181.01996988417312,0.9762136746456178,14.71024194834183,2.2564684825148578,2.910369117176431,0.02999795922695906,0.22736239433288574
2,xgb,Ensemble,loso,Al Ahsa - KFU,1631,18,5549.283333333333,1266.2999443917963,5597.4326171875,1309.683349609375,141.57342664930565,41089.58625436784,202.70566409049314,0.9743753116234378,48.149121093749905,2.5512019867305207,3.652825994176302,0.0641500001721498,0.11445426940917969
3,xgb,Ensemble,loso,Al Baha - University,1617,32,6122.075000000001,770.5048710099112,6055.283203125,614.3753051757812,266.7565856933594,109151.10392002405,330.38024141892026,0.8161441914053116,-66.79158325195311,4.357290390812908,5.39654024850921,0.034337499982939335,0.1118326187133789
4,xgb,Ensemble,loso,Al Dawadmi - TVTC,1600,49,6158.08163265306,1242.735881715603,6171.439453125,1221.4287109375,100.32531289859696,14810.914600389635,121.70010106975933,0.9904098764583764,13.357870296556131,1.6291650368294035,1.9762664467526356,0.029373469427513073,0.12393045425415039
5,xgb,Ensemble,loso,Al Dhahran - KFUPM,1604,45,5201.251111111111,1315.5792518248752,5227.27392578125,1328.708251953125,147.41977647569442,37502.03286073292,193.6544160630811,0.9783319026090036,26.022977430555603,2.834313770407483,3.7232275836363513,0.02416000004612013,0.11306905746459961
6,xgb,Ensemble,loso,Al Farshah - TQ TVTC,1604,45,5783.742222222222,648.1317134619026,5682.51123046875,700.1710205078125,273.7595659722223,127930.60432407171,357.67387984597326,0.6954575011448901,-101.23059027777771,4.733260153268704,6.184125538509015,0.027324444413857743,0.12356090545654297
7,xgb,Ensemble,loso,Al Hanakiyah - TVTC,1598,51,6190.123529411763,1218.1734376320348,6290.59814453125,1226.494384765625,155.4831629136029,54578.054699940956,233.61946558440064,0.9632210097792302,100.47425130208336,2.5117941859292463,3.7740679079243042,0.027176470586495912,0.12857341766357422
8,xgb,Ensemble,loso,Al Jouf - TVTC,1609,40,5857.597500000001,1618.4891058464837,5918.2412109375,1576.0726318359375,138.57739746093745,29325.243605447038,171.246149169688,0.9888050523380755,60.64402832031253,2.3657719305728575,2.923487815092928,0.031289999969885685,0.13647675514221191
9,xgb,Ensemble,loso,Al Jubail - SWCC,1600,49,5368.820408163266,1346.8619593494689,5340.6630859375,1299.738037109375,192.40507513552296,52649.09735334081,229.45391117464268,0.9709768359953977,-28.15711794483418,3.5837495112142688,4.273823553973963,0.030087755086632178,0.11265039443969727
10,xgb,Ensemble,loso,Al Khafji - SWCC,1627,22,5728.686363636364,1368.320342043636,5645.193359375,1289.3380126953125,223.0107932350853,114244.72392259346,338.001070889714,0.9389816322988512,-83.49325949928972,3.8928783857094604,5.9001496928724,0.05884999998009086,0.11114978790283203
11,xgb,Ensemble,loso,Al Qunfudhah - TVTC,1604,45,5561.022222222223,862.9555088026493,5459.27783203125,816.03173828125,250.3364301215278,101186.94749012902,318.09895864357844,0.8641224574288966,-101.74419487847224,4.501626142063709,5.720152625401017,0.028282222208670445,0.11121344566345215
12,xgb,Ensemble,loso,Al Uwayqilah,1645,4,4700.0,1374.3970077819579,4816.84375,1303.5955810546875,149.85118408203107,28804.25540853795,169.71816463931594,0.984751319980727,116.84381103515625,3.1883230655751293,3.611024779559914,0.3092500001002918,0.11686205863952637
13,xgb,Ensemble,loso,Al Wajh - TVTC,1630,19,6172.1578947368425,1468.5868779977395,5840.083984375,1106.557373046875,509.6531635485198,677121.0083084072,822.8736283952762,0.6860452908922443,-332.07418020148015,8.25729302847411,13.332024916228436,0.07436315794812369,0.12876510620117188
14,xgb,Ensemble,loso,Arar - TVTC,1612,37,5733.135135135134,1774.237785827315,5781.5830078125,1639.921142578125,170.31982025971286,50400.2079362818,224.4999063168664,0.9839893604638189,48.4484467377534,2.970797238249614,3.915831408560977,0.033154054009984876,0.11984014511108398
15,xgb,Ensemble,loso,Dammam - IAFU,1625,24,5679.474999999999,1462.4693592944093,5693.64208984375,1367.774658203125,169.36708374023445,65430.80008617431,255.79444889632438,0.969407943035409,14.166428629557231,2.9820904879453556,4.503839684061017,0.04848749995289836,0.11567950248718262
16,xgb,Ensemble,loso,Duba - TVTC,1598,51,6060.007843137256,1282.3317258933441,6210.06005859375,1182.5423583984375,248.74802389705889,113258.3278615918,336.53874644918943,0.9311237694516941,150.05235906862742,4.104747557030923,5.5534374733575245,0.02322745101136046,0.12836432456970215
17,xgb,Ensemble,loso,Farasan - SWCC,1611,38,5479.676315789476,759.3133440412188,5526.9267578125,692.30859375,170.01467413651315,51657.39779165672,227.28263856189437,0.9104036204693933,47.250544819078925,3.1026408192509916,4.147738396645587,0.03338157885560864,0.13541030883789062
18,xgb,Ensemble,loso,Hada Al Sham - KAU,1598,51,5853.949019607843,1122.0203016884318,5874.017578125,1178.7919921875,137.65723805147064,30319.498018963866,174.1249494442536,0.9759164459673526,20.06876914828434,2.351527790733858,2.9744869465214143,0.031207843159220417,0.13101673126220703
19,xgb,Ensemble,loso,Hafar Al Batin - TVTC,1599,50,5774.338000000001,1488.745472119395,5889.50732421875,1449.951416015625,195.5687509765625,68993.32377899956,262.66580245437274,0.9688709289655438,115.16955371093749,3.3868601210487244,4.54884702721546,0.027115999982925132,0.11690235137939453
20,xgb,Ensemble,loso,Hagl - SWCC,1598,51,5767.360784313726,1417.5352506013471,5705.7060546875,1323.7044677734375,207.9504825367647,73407.15050209383,270.9375398539188,0.9634682370403453,-61.65474877450985,3.6056437305319244,4.697773383465526,0.02254509808171504,0.11993765830993652
21,xgb,Ensemble,loso,Hail - TVTC,1603,46,5909.593478260869,1376.415776794803,5918.82861328125,1324.3236083984375,166.6890083644701,64855.22580620173,254.66689185326334,0.9657669423207782,9.23550123131794,2.820651013942924,4.309380887028613,0.029095652201288864,0.11014747619628906
22,xgb,Ensemble,loso,Jazan - University,1605,44,5479.720454545455,658.8391897805582,5473.58447265625,714.3406982421875,173.25990545099432,45962.88053086607,214.3895532223202,0.8941115991407926,-6.135637872869273,3.1618383982941025,3.912417704528759,0.026181818198396784,0.10057878494262695
