record_id,fold,model_name,cv_strategy,station_name,latitude,longitude,date,actual_ghi,predicted_ghi,residual_error,absolute_error,squared_error,relative_error_pct,air_temperature_c,wind_speed_m_s,dhi_wh_m2,dni_wh_m2,diffuse_fraction,relative_humidity_pct,barometric_pressure_mb
1214,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-01-2017 00:00,4723.7,4624.560546875,-99.13945312499982,99.13945312499982,9828.631165924036,2.09876692264538,17.4,4.3,1542.9,5834.3,0.20914439082578756,32.4,898.9
1215,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-02-2017 00:00,4872.1,5016.74951171875,144.64951171874964,144.64951171874964,20923.481240472687,2.9689356072073565,14.3,4.5,2397.0,3992.9,0.3751232413652796,39.3,898.9
1216,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-03-2017 00:00,5521.8,5432.5830078125,-89.21699218750018,89.21699218750018,7959.671694984469,1.6157229922760727,21.7,4.7,2974.0,3598.1,0.45251898175621186,36.2,895.0
1217,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-04-2017 00:00,6322.8,6498.29150390625,175.49150390624982,175.49150390624982,30797.267943277297,2.7755346350706938,27.9,5.0,3415.9,3770.1,0.47535485666573896,20.6,896.1
1218,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-05-2017 00:00,6918.2,6870.13623046875,-48.06376953124982,48.06376953124982,2310.1259415530985,0.6947438572352609,31.0,3.5,3460.3,4369.2,0.44195670221597805,21.4,894.7
1219,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-06-2017 00:00,7910.8,7914.0244140625,3.224414062499818,3.224414062499818,10.396846046446582,0.04075964583227762,34.5,3.8,2742.9,6769.5,0.2883499432319919,8.7,891.7
1220,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-09-2017 00:00,6954.4,7026.17041015625,71.77041015625036,71.77041015625036,5150.991773996406,1.0320144103912683,31.6,3.1,2286.2,6573.0,0.2580594184576485,10.0,894.3
1221,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-10-2017 00:00,6326.5,6203.453125,-123.046875,123.046875,15140.533447265625,1.9449438868252586,27.5,3.8,1532.0,7682.0,0.1662687215107445,13.0,897.3
1222,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-11-2017 00:00,4973.7,4898.7841796875,-74.91582031249982,74.91582031249982,5612.38013309476,1.506239224571241,21.4,4.3,1611.6,5986.5,0.21210565799344572,32.7,898.5
1223,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-03-2018 00:00,6556.4,6703.36474609375,146.96474609375036,146.96474609375036,21598.636594400512,2.2415463683385757,24.7,4.3,2421.9,6007.3,0.28732264034546573,25.7,896.8
1224,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-04-2018 00:00,6654.2,6651.21923828125,-2.980761718749818,2.980761718749818,8.88494042396437,0.04479519279176788,24.7,4.9,3076.3,4729.0,0.3941296298668853,35.1,894.3
1225,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-05-2018 00:00,7499.6,7238.875,-260.72500000000036,260.72500000000036,67977.52562500018,3.476518747666547,30.7,4.3,3497.6,5083.6,0.4075886822355847,19.1,893.8
1226,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-06-2018 00:00,7850.1,7607.14892578125,-242.95107421875036,242.95107421875036,59025.224464044746,3.094878717707422,34.3,3.4,3047.3,6214.8,0.3290074605111152,12.1,891.7
1227,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-07-2018 00:00,7727.5,7654.4287109375,-73.0712890625,73.0712890625,5339.413285255432,0.9456006349077969,34.1,3.4,2838.8,6323.6,0.30983148520038417,13.2,890.2
1228,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-08-2018 00:00,7555.9,7289.345703125,-266.55429687499964,266.55429687499964,71051.19318252544,3.5277636929419347,34.2,3.0,2169.3,7267.0,0.2298888335470471,13.2,890.9
1229,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-09-2018 00:00,6637.8,6773.98828125,136.18828124999982,136.18828124999982,18547.247949829052,2.05170811488746,33.8,3.3,2582.3,5525.6,0.3184918412905931,13.6,894.3
1230,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-10-2018 00:00,5498.5,5163.8662109375,-334.6337890625,334.6337890625,111979.77278232574,6.085910504001092,26.4,3.9,1913.0,5582.8,0.25520958403372557,33.6,898.2
1231,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-11-2018 00:00,4236.3,4309.99560546875,73.69560546874982,73.69560546874982,5431.042265405628,1.7396219689056445,20.0,4.2,1777.1,4318.1,0.2915572909830686,60.4,898.4
1232,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-12-2018 00:00,4387.7,4617.62060546875,229.92060546875018,229.92060546875018,52863.484819116675,5.240116814475697,18.5,4.2,1505.2,5596.8,0.21194029850746268,45.7,899.6
1233,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-01-2019 00:00,4414.1,4591.57666015625,177.47666015624964,177.47666015624964,31497.964900216928,4.020676019035582,18.4,4.6,2204.3,3976.2,0.35665399239543727,40.4,899.2
1234,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-02-2019 00:00,5097.9,5118.58935546875,20.689355468750364,20.689355468750364,428.0494297123106,0.40584074753820915,17.9,4.7,2182.2,4812.9,0.31196123000385984,41.5,898.0
1235,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-03-2019 00:00,6589.6,6547.65869140625,-41.941308593750364,41.941308593750364,1759.0733665561982,0.6364773065702071,20.0,4.4,2364.1,6282.7,0.2734075033538419,26.4,896.3
1236,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-04-2019 00:00,7156.5,6895.38330078125,-261.11669921875,261.11669921875,68181.93061089516,3.6486648392195904,24.4,4.0,2643.4,6163.0,0.3001680595930233,28.6,895.4
1237,1,xgb,loso,Afif - TVTC,23.92118,42.94815,01-05-2019 00:00,6958.5,6936.51513671875,-21.98486328125,21.98486328125,483.3342134952545,0.315942563501473,30.0,3.6,2892.2,5191.5,0.3577817088709378,26.4,894.9
