station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Riyadh - KSU,24.72359,46.61639,xgb,loso,51,5913.5,1281.0528315627353,5890.369327320772,1268.5391095936993,95.45261086856623,14310.069555276195,119.62470294749407,0.991280177125484,-23.130672679227942,1.614147473891371,2.02290864881194,317.55820312499964
Shaqra - University,25.17279,45.14198,xgb,loso,47,5994.593617021277,1329.9769433938534,6016.416940242686,1318.5200227622104,99.4469768118351,17412.329403445576,131.95578578995912,0.9901560669725483,21.82332322140958,1.6589444283505987,2.201246560155118,358.61904296875036
Al Dawadmi - TVTC,24.5569,44.47411,xgb,loso,49,6158.08163265306,1242.735881715603,6171.439502949617,1221.4287688621653,100.32531289859696,14810.914600389635,121.70010106975933,0.9904098764583764,13.357870296556131,1.6291650368294035,1.9762664467526356,274.0862304687498
Wadi Addawasir - TVTC,20.43008,44.89433,xgb,loso,15,6290.633333333333,788.4023386289234,6325.131705729166,777.3274099035094,100.39041666666678,16472.44444385405,128.3450211104975,0.9734990011175033,34.49837239583339,1.59587137490131,2.04025595372746,295.96767578125036
Riyadh - K.A.CARE HQ,24.707744,46.6792,xgb,loso,45,5699.173333333333,1256.6968934295792,5750.136404079861,1246.897076376205,101.16725911458333,18997.155341323003,137.83016847309955,0.9879710563339759,50.96307074652779,1.7751216395345641,2.418423873282784,424.39707031249964
Riyadh - K.A.CARE City T2,24.52958,46.43635,xgb,loso,45,5906.017777777777,1218.4886161486907,5860.26337890625,1215.0024536483115,103.04212022569453,21520.448971636255,146.69849682814154,0.9855053285596255,-45.75439887152776,1.7446970886780093,2.4838817346624875,479.5485351562502
Osfan - KAU,21.89252,39.2539,xgb,loso,46,5753.413043478261,1092.5723178947324,5759.667268172554,1038.4507176133454,117.84496008831522,26432.132364710214,162.57961854030233,0.977857236834006,6.254224694293488,2.048261774320158,2.8257943122055744,448.26894531250036
Majmaah - University,25.85891,45.41889,xgb,loso,51,5979.882352941176,1368.858325315889,5920.276314529719,1341.9305336315201,120.64164656096806,22894.05036727253,151.3078000873469,0.9877818449914735,-59.60603841145828,2.017458529123588,2.5302805499664536,399.82919921874964
Layla - TVTC,22.27948,46.73319,xgb,loso,51,6283.745098039216,1045.311658059916,6221.980521407781,1068.9244281923434,128.7424335554535,31140.426345883425,176.4665020503422,0.9715007805006431,-61.76457663143384,2.048816932367711,2.808301407792734,651.2003417968754
Hada Al Sham - KAU,21.80117,39.72854,xgb,loso,51,5853.949019607843,1122.0203016884318,5874.017788756128,1178.7919756749793,137.65723805147064,30319.498018963866,174.1249494442536,0.9759164459673526,20.06876914828434,2.351527790733858,2.9744869465214143,487.33251953125
Al Jouf - TVTC,29.77634,40.02318,xgb,loso,40,5857.597500000001,1618.4891058464837,5918.241528320313,1576.0726399360428,138.57739746093745,29325.243605447038,171.246149169688,0.9888050523380755,60.64402832031253,2.3657719305728575,2.923487815092928,338.25390625
Afif - TVTC,23.92118,42.94815,xgb,loso,49,6219.828571428571,1173.7154214767074,6234.538813376913,1109.234538394476,140.34847138073985,32768.229496866945,181.01996988417312,0.9762136746456178,14.71024194834183,2.2564684825148578,2.910369117176431,472.9534179687498
Al Ahsa - KFU,25.34616,49.5956,xgb,loso,18,5549.283333333333,1266.2999443917963,5597.432454427083,1309.6834364420515,141.57342664930565,41089.58625436784,202.70566409049314,0.9743753116234378,48.149121093749905,2.5512019867305207,3.652825994176302,530.2087890624998
Al Dhahran - KFUPM,26.30355,50.14412,xgb,loso,45,5201.251111111111,1315.5792518248752,5227.274088541667,1328.7082421542132,147.41977647569442,37502.03286073292,193.6544160630811,0.9783319026090036,26.022977430555603,2.834313770407483,3.7232275836363513,521.8302734375002
Thuwal - KAUST,22.3065,39.107,xgb,loso,46,5567.534782608695,1035.9074126029905,5512.3279073963995,999.7235402723594,149.13312775985057,32530.7490956591,180.36282625768288,0.9696853762371687,-55.206875212296225,2.678620495119269,3.2395455672963576,452.74941406250036
Al Uwayqilah,30.327166,42.253735,xgb,loso,4,4700.0,1374.3970077819579,4816.843811035156,1303.5955994131937,149.85118408203107,28804.25540853795,169.71816463931594,0.984751319980727,116.84381103515625,3.1883230655751293,3.611024779559914,271.57421875
Mahd ad Dahab,23.419423,40.743138,xgb,loso,7,5798.400000000001,949.9375588502045,5905.61865234375,1009.0242999027572,151.09429408482148,29874.94826213701,172.843710507895,0.9668932123410048,107.21865234375011,2.6057928753590898,2.9808862877327362,329.3845703124998
Al Hanakiyah - TVTC,24.85577,40.536,xgb,loso,51,6190.123529411763,1218.1734376320348,6290.597780713848,1226.4942971615924,155.4831629136029,54578.054699940956,233.61946558440064,0.9632210097792302,100.47425130208336,2.5117941859292463,3.7740679079243042,889.5645507812496
Timaa - TVTC,27.6173,38.5252,xgb,loso,51,6221.5921568627455,1460.165548610927,6238.3736261106005,1390.3098672374174,157.8471938189338,36178.440278451446,190.20630977559983,0.983031414352544,16.78146924785534,2.5370868073507515,3.0571966946723146,449.62734375000036
Hail - TVTC,27.65261,41.70826,xgb,loso,46,5909.593478260869,1376.415776794803,5918.8289794921875,1324.3235355204301,166.6890083644701,64855.22580620173,254.66689185326334,0.9657669423207782,9.23550123131794,2.820651013942924,4.309380887028613,896.73095703125
Dammam - IAFU,26.394974,50.188715,xgb,loso,24,5679.474999999999,1462.4693592944093,5693.641428629558,1367.7746452111508,169.36708374023445,65430.80008617431,255.79444889632438,0.969407943035409,14.166428629557231,2.9820904879453556,4.503839684061017,724.1978515624996
Farasan - SWCC,16.692097,42.098767,xgb,loso,38,5479.676315789476,759.3133440412188,5526.9268606085525,692.3085455750712,170.01467413651315,51657.39779165672,227.28263856189437,0.9104036204693933,47.250544819078925,3.1026408192509916,4.147738396645587,574.0511718750004
Arar - TVTC,31.027395,40.906419,xgb,loso,37,5733.135135135134,1774.237785827315,5781.583581872888,1639.9210833908164,170.31982025971286,50400.2079362818,224.4999063168664,0.9839893604638189,48.4484467377534,2.970797238249614,3.915831408560977,732.0139648437498
Jazan - University,16.96035,42.545865,xgb,loso,44,5479.720454545455,658.8391897805582,5473.5848166725855,714.3407244715777,173.25990545099432,45962.88053086607,214.3895532223202,0.8941115991407926,-6.135637872869273,3.1618383982941025,3.912417704528759,594.29248046875
Jeddah - KAU,21.49604,39.24492,xgb,loso,46,5424.1391304347835,1065.8639036375632,5506.0087731402855,1040.4826694497622,173.4851403277853,41857.97866102636,204.59222531911217,0.9631553239164091,81.86964270550264,3.198390309613596,3.7718838031116775,478.8625976562498
Sharurah - TVTC,17.47586,47.08618,xgb,loso,41,6656.526829268292,674.428293038572,6617.728753810976,784.3958226295299,175.82271817835363,63356.39858780141,251.70696968459455,0.8607103265983007,-38.798075457317125,2.6413582140955727,3.7813558953575646,608.25537109375
Rania - TVTC,21.21501,42.84853,xgb,loso,28,6412.253571428572,799.1166299117612,6333.644130161831,845.1045969339216,188.67422223772317,67663.49321092092,260.122073671038,0.8940419205561149,-78.60944126674102,2.942401140815909,4.056640473952529,806.0293945312496
Umluj - SWCC,25.00411,37.27382,xgb,loso,51,5969.813725490198,1184.3944103310246,6029.447897518382,1148.4458149243976,190.07439874387248,58959.114724894076,242.81498043756295,0.9579701097712782,59.63417202818625,3.1839251186730277,4.067379513045438,812.1875976562496
Madinah - Taibah University,24.4846,39.5418,xgb,loso,24,5939.904166666667,1174.7210255627954,5961.6689046223955,1266.2644042602155,190.1781087239584,58965.64534751596,242.82842779937434,0.9572703267249206,21.764737955729117,3.2017033168850233,4.0880866254049995,554.0255859375002
Al Jubail - SWCC,26.9042,49.76274,xgb,loso,49,5368.820408163266,1346.8619593494689,5340.663290218431,1299.7381121690942,192.40507513552296,52649.09735334081,229.45391117464268,0.9709768359953977,-28.15711794483418,3.5837495112142688,4.273823553973963,592.3098632812498
Hafar Al Batin - TVTC,28.33202,45.95708,xgb,loso,50,5774.338000000001,1488.745472119395,5889.507553710938,1449.9514895822767,195.5687509765625,68993.32377899956,262.66580245437274,0.9688709289655438,115.16955371093749,3.3868601210487244,4.54884702721546,650.7394531250002
Najran - University,17.63228,44.53735,xgb,loso,50,6840.951999999999,698.6154293286113,6792.42892578125,680.8358007652621,200.88173046875,60271.44718217315,245.5024382407905,0.8765090096934514,-48.52307421875006,2.9364587044135084,3.5887174510329927,619.3047851562496
Taif - University,21.43278,40.49173,xgb,loso,25,6213.852,1028.2639618774938,6139.84111328125,923.7911124175821,204.73958203124997,65579.74893998449,256.0854328929791,0.9379758930992499,-74.01088671874997,3.2948899013244923,4.121202643593364,788.32421875
Hagl - SWCC,29.28997,34.93002,xgb,loso,51,5767.360784313726,1417.5352506013471,5705.706035539216,1323.704454235236,207.9504825367647,73407.15050209383,270.9375398539188,0.9634682370403453,-61.65474877450985,3.6056437305319244,4.697773383465526,840.5647460937498
Yanbu - RCJY,23.98655,38.20451,xgb,loso,12,5882.533333333333,1335.5128361627812,5874.641133626302,1222.9298639597835,209.91751708984373,87651.25409918245,296.0595448540419,0.9508569619653602,-7.89219970703103,3.5684883568843992,5.032857921542452,779.2904296875004
Tabuk - University,28.38287,36.48396,xgb,loso,34,6011.488235294117,1461.0986017306425,5969.189632640166,1332.994064212632,218.98602510340072,94614.44936105175,307.59461855021414,0.9556801363183738,-42.298602653952166,3.6427922093851803,5.116779847364449,924.2453125000002
Al Khafji - SWCC,28.50676,48.455128,xgb,loso,22,5728.686363636364,1368.320342043636,5645.1931041370735,1289.3380944941964,223.0107932350853,114244.72392259346,338.001070889714,0.9389816322988512,-83.49325949928972,3.8928783857094604,5.9001496928724,989.3330078125
Duba - TVTC,27.34103,35.72295,xgb,loso,51,6060.007843137256,1282.3317258933441,6210.060202205882,1182.5423320553975,248.74802389705889,113258.3278615918,336.53874644918943,0.9311237694516941,150.05235906862742,4.104747557030923,5.5534374733575245,993.76904296875
Al Qunfudhah - TVTC,19.15197,41.08111,xgb,loso,45,5561.022222222223,862.9555088026493,5459.27802734375,816.0317369869374,250.3364301215278,101186.94749012902,318.09895864357844,0.8641224574288966,-101.74419487847224,4.501626142063709,5.720152625401017,668.6611328125
Makkah - UQU,21.331,39.949,xgb,loso,23,5840.304347826087,1196.1438442211092,5918.470894191576,1084.3392651091124,265.7952063519021,137968.8374251361,371.4415666361751,0.9035695517338682,78.1665463654891,4.551050604937018,6.359969352871743,1214.1394531249998
